PROBE_ID	7677153062_B.VALUE	7677153062_B.Detection Pval
ILMN_2367487	79.8131	0.4558442
ILMN_1785285	81.28963	0.3987013
ILMN_2073969	79.89224	0.451948
ILMN_1794213	216.4887	0.006493506
ILMN_2227533	93.01228	0.1766234
ILMN_1769390	107.208	0.08441558
ILMN_2403446	110.7938	0.07922078
ILMN_1787618	79.49223	0.4649351
ILMN_1723662	127.6955	0.05064935
ILMN_1801767	406.6262	0
ILMN_1700633	202.0773	0.007792208
ILMN_1655702	379.8428	0
ILMN_1706344	102.86	0.1116883
ILMN_1719498	81.13264	0.4064935
ILMN_1712707	132.4017	0.04545455
ILMN_1699750	237.7437	0.003896104
ILMN_1739081	224.3464	0.006493506
ILMN_2329958	414.1385	0
ILMN_1775944	73.87455	0.7974026
ILMN_1724497	99.61028	0.1324675
ILMN_1720988	86.06211	0.2792208
ILMN_1707274	73.34548	0.8194805
ILMN_1755658	175.3308	0.01558442
ILMN_1673639	79.30457	0.4714286
ILMN_1713732	187.656	0.009090909
ILMN_1708922	132.7926	0.04545455
ILMN_2268241	88.02322	0.2493507
ILMN_1741628	87.54242	0.2597403
ILMN_1657870	103.4419	0.1077922
ILMN_2240003	82.09507	0.3792208
ILMN_1785424	443.7301	0
ILMN_1731610	101.7329	0.1168831
ILMN_1696682	77.18367	0.574026
ILMN_2396672	210.5209	0.007792208
ILMN_1758825	128.093	0.05064935
ILMN_1656940	92.30577	0.1857143
ILMN_1656979	114.165	0.06753246
ILMN_1731433	194.07	0.009090909
ILMN_1672878	664.6162	0
ILMN_1655114	112.5034	0.07142857
ILMN_1657045	78.25636	0.5090909
ILMN_1766991	75.90748	0.6493506
ILMN_1658083	98.73513	0.1350649
ILMN_1802096	1910.296	0
ILMN_2367165	1074.674	0
ILMN_1753370	120.9706	0.05714286
ILMN_1738921	401.3778	0
ILMN_1660199	159.7733	0.02467532
ILMN_2331636	120.6563	0.05844156
ILMN_1772123	116.9705	0.06493507
ILMN_1667641	72.98781	0.8402597
ILMN_1763852	109.2337	0.08051948
ILMN_1687303	122.4319	0.05714286
ILMN_1761058	172.1883	0.01688312
ILMN_2225595	164.1048	0.02467532
ILMN_1724699	85.61233	0.2844156
ILMN_1775579	127.5743	0.05194805
ILMN_1660890	80.72919	0.4220779
ILMN_1778104	159.6747	0.02467532
ILMN_2053679	210.7128	0.007792208
ILMN_1795104	232.0501	0.005194805
ILMN_1740920	83.69521	0.3298701
ILMN_2263466	112.8695	0.06883117
ILMN_1806408	1025.081	0
ILMN_2352009	223.8048	0.006493506
ILMN_1693148	80.41396	0.4350649
ILMN_1808395	461.6205	0
ILMN_3236270	376.135	0
ILMN_1743847	83.5358	0.3350649
ILMN_1800008	178.1066	0.01298701
ILMN_2133799	85.22495	0.2922078
ILMN_1708672	136.3466	0.04025974
ILMN_1665945	243.8411	0.003896104
ILMN_1676288	87.08044	0.2662338
ILMN_1693250	85.08948	0.3
ILMN_2295980	89.53183	0.2285714
ILMN_2410362	99.50499	0.1324675
ILMN_1684271	95.1506	0.1584416
ILMN_1726388	77.3502	0.5649351
ILMN_2106002	99.386	0.1324675
ILMN_1779685	99.77818	0.1298701
ILMN_1665932	92.92303	0.1766234
ILMN_1769694	73.51624	0.8155844
ILMN_1727251	98.7601	0.1350649
ILMN_1734479	92.34766	0.1857143
ILMN_2368728	128.7867	0.05064935
ILMN_2394897	80.3574	0.4376623
ILMN_2394902	84.41444	0.3168831
ILMN_2287535	92.07753	0.1909091
ILMN_1750295	113.3432	0.06883117
ILMN_3187680	265.7761	0.002597403
ILMN_3242266	99.50928	0.1324675
ILMN_1780630	129.4068	0.04935065
ILMN_1716480	138.0081	0.03896104
ILMN_1715192	90.93108	0.2051948
ILMN_2339410	74.97774	0.7194805
ILMN_1779984	80.70525	0.4233766
ILMN_1667018	109.0556	0.08051948
ILMN_1773243	72.25269	0.8792208
ILMN_3241214	105.9545	0.09090909
ILMN_3235340	98.98215	0.1337662
ILMN_1761000	88.49792	0.2428571
ILMN_3237774	142.9815	0.03766234
ILMN_2333219	69.25107	0.9714286
ILMN_1780485	117.1736	0.06493507
ILMN_1735471	185.9713	0.01038961
ILMN_1699636	408.9857	0
ILMN_2371379	375.9507	0
ILMN_1749014	254.0851	0.003896104
ILMN_1727091	76.34209	0.6207792
ILMN_1771348	108.2984	0.08181818
ILMN_2134039	4514.779	0
ILMN_1750800	178.4407	0.01298701
ILMN_1654861	135.8304	0.04025974
ILMN_2121389	76.84245	0.5974026
ILMN_1715543	76.80441	0.5987013
ILMN_1739594	89.32925	0.2298701
ILMN_2353978	74.23564	0.7766234
ILMN_1785474	150.158	0.03116883
ILMN_2188959	92.86251	0.1766234
ILMN_1716237	137.2621	0.03896104
ILMN_1764321	80.92149	0.4090909
ILMN_2156699	75.04992	0.7155844
ILMN_1784756	93.08897	0.1766234
ILMN_1728883	75.27576	0.7051948
ILMN_1740265	114.6063	0.06753246
ILMN_1788078	74.21723	0.7779221
ILMN_2252621	79.92907	0.451948
ILMN_2332250	85.04516	0.3025974
ILMN_1719178	80.06744	0.448052
ILMN_1679600	97.18082	0.1467533
ILMN_2367070	170.2941	0.01948052
ILMN_1658995	198.0801	0.009090909
ILMN_1750158	340.5162	0
ILMN_1668839	92.55268	0.1818182
ILMN_1765767	133.0623	0.04415584
ILMN_1685703	79.48091	0.4662338
ILMN_1743396	107.9868	0.08181818
ILMN_1743680	69.92379	0.9571428
ILMN_1669633	220.0121	0.006493506
ILMN_2344956	407.313	0
ILMN_2104830	112.5377	0.07142857
ILMN_2078599	121.3663	0.05714286
ILMN_2234343	94.60063	0.1662338
ILMN_1706598	140.7947	0.03766234
ILMN_2306955	135.6224	0.04025974
ILMN_1758323	220.8394	0.006493506
ILMN_1728331	322.8306	0
ILMN_2351906	77.23657	0.5714286
ILMN_1705637	179.2833	0.01038961
ILMN_1784203	162.4163	0.02467532
ILMN_1666690	103.9314	0.1012987
ILMN_1654468	268.3409	0.002597403
ILMN_2320277	104.5943	0.09740259
ILMN_2227011	83.33274	0.3376623
ILMN_1730002	100.3531	0.125974
ILMN_3236756	91.41182	0.1961039
ILMN_1716832	79.48104	0.4662338
ILMN_1684585	2091.436	0
ILMN_2360705	223.7118	0.006493506
ILMN_1654414	101.5406	0.1168831
ILMN_1666096	107.123	0.08441558
ILMN_2391458	128.5428	0.05064935
ILMN_2285506	88.66778	0.2415584
ILMN_1691714	87.09692	0.2662338
ILMN_1683598	530.3743	0
ILMN_2370882	130.4233	0.04805195
ILMN_2273911	72.38469	0.874026
ILMN_1807914	74.49905	0.7506493
ILMN_1678517	81.33069	0.3987013
ILMN_1705247	380.0559	0
ILMN_1737418	86.49349	0.274026
ILMN_2278242	79.64017	0.4623377
ILMN_1730025	84.77463	0.3051948
ILMN_2378555	123.9441	0.05454545
ILMN_1661434	76.55518	0.6142857
ILMN_1809623	75.34864	0.6896104
ILMN_1657592	77.62968	0.5454546
ILMN_1765912	81.87057	0.3844156
ILMN_1746128	71.81667	0.8987013
ILMN_1685952	75.69456	0.6610389
ILMN_1662738	76.68139	0.6064935
ILMN_1771084	89.80435	0.2181818
ILMN_1791923	72.21723	0.8844156
ILMN_1801698	71.28686	0.9233766
ILMN_1766966	76.64109	0.6103896
ILMN_2070792	90.5474	0.2116883
ILMN_1752269	154.1292	0.02987013
ILMN_1697510	95.83535	0.1545455
ILMN_2254962	92.88155	0.1766234
ILMN_2336595	373.4228	0
ILMN_1714197	417.91	0
ILMN_1742859	76.43085	0.6181818
ILMN_1659885	84.38773	0.3168831
ILMN_2125869	118.9686	0.06363636
ILMN_1671703	278.9163	0.002597403
ILMN_2152131	9425.941	0
ILMN_1777296	8259.741	0
ILMN_2038777	9841.067	0
ILMN_3246895	72.24949	0.8805195
ILMN_1658660	83.2719	0.3415585
ILMN_1829919	82.57983	0.3636364
ILMN_2053178	7202.014	0
ILMN_1704961	2204.17	0
ILMN_1795325	71.84898	0.8974026
ILMN_1749297	193.429	0.009090909
ILMN_2328280	159.5923	0.02467532
ILMN_1657855	232.924	0.005194805
ILMN_1717900	79.96424	0.4506494
ILMN_1796088	84.59038	0.3103896
ILMN_1704078	81.18172	0.4038961
ILMN_2232177	1164.451	0
ILMN_1654422	78.18168	0.5090909
