PROBE_ID	7677153062_G.VALUE	7677153062_G.Detection Pval
ILMN_1762337	108.8335	0.2376623
ILMN_2055271	162.0626	0.01688312
ILMN_1736007	106.1855	0.3324675
ILMN_2383229	107.4246	0.2818182
ILMN_1806310	98.85728	0.8038961
ILMN_1779670	100.1342	0.712987
ILMN_1653355	105.8887	0.3493507
ILMN_1717783	98.28471	0.8350649
ILMN_1705025	100.2751	0.7038961
ILMN_1814316	105.6807	0.361039
ILMN_2359168	108.7883	0.2376623
ILMN_1731507	102.3021	0.5571429
ILMN_1787689	98.06375	0.848052
ILMN_3241953	109.9855	0.2025974
ILMN_1745607	95.64906	0.9181818
ILMN_2136495	93.81564	0.9688312
ILMN_1668111	101.6422	0.6090909
ILMN_2295559	95.26144	0.9363636
ILMN_1735045	119.191	0.09090909
ILMN_1680754	106.396	0.3272727
ILMN_2375184	100.4552	0.6961039
ILMN_1659452	104.526	0.4207792
ILMN_1767388	184.7262	0.007792208
ILMN_1675204	107.1048	0.2922078
ILMN_1673870	107.5	0.2792208
ILMN_1755321	156.1713	0.01818182
ILMN_1698554	117.9802	0.09740259
ILMN_1814092	107.7868	0.2662338
ILMN_1760414	103.4896	0.4766234
ILMN_2061446	140.5435	0.03376623
ILMN_1676336	114.9534	0.1272727
ILMN_1752884	105.5216	0.3675325
ILMN_1660703	102.4162	0.5493507
ILMN_1668851	97.75826	0.8571429
ILMN_2270015	97.76084	0.8571429
ILMN_1809959	98.33104	0.8298701
ILMN_2357031	96.32429	0.9064935
ILMN_1726986	120.7241	0.07922078
ILMN_3237396	165.9206	0.01298701
ILMN_1688755	228.279	0.001298701
ILMN_1880387	99.80155	0.7363636
ILMN_1689211	112.6388	0.161039
ILMN_1653165	133.516	0.04415584
ILMN_1729835	98.55183	0.8168831
ILMN_1662364	265.7453	0
ILMN_1674698	121.7914	0.07272727
ILMN_1700461	117.1238	0.1077922
ILMN_1784269	140.2743	0.03506494
ILMN_1698189	121.126	0.07532468
ILMN_2096191	152.7121	0.02207792
ILMN_1678323	104.1132	0.4441558
ILMN_2157219	111.4119	0.1805195
ILMN_1703743	246.1232	0.001298701
ILMN_1687609	123.3155	0.07012987
ILMN_2068874	93.18526	0.9857143
ILMN_1699334	121.9964	0.07272727
ILMN_1670117	94.9818	0.9428571
ILMN_1805104	110.8624	0.187013
ILMN_2404407	104.4662	0.4233766
ILMN_1766054	386.8764	0
ILMN_1753388	106.4786	0.3181818
ILMN_2070570	104.1388	0.4441558
ILMN_2232084	114.2309	0.1350649
ILMN_1750250	98.62133	0.812987
ILMN_2361400	93.34259	0.9831169
ILMN_1704579	105.6602	0.3623376
ILMN_1687636	108.26	0.2519481
ILMN_1747627	128.5733	0.05454545
ILMN_1758523	104.5011	0.4233766
ILMN_1794965	108.8877	0.2376623
ILMN_1722286	96.79246	0.8883117
ILMN_1784176	107.4389	0.2818182
ILMN_1749001	107.4462	0.2805195
ILMN_1701551	105.8778	0.3493507
ILMN_1795507	93.91909	0.9649351
ILMN_1729894	104.5992	0.4181818
ILMN_1743205	290.534	0
ILMN_2259319	102.0312	0.5753247
ILMN_2129886	95.33451	0.9350649
ILMN_1796801	171.6435	0.01168831
ILMN_1720501	101.7114	0.6038961
ILMN_1668446	103.8746	0.4558442
ILMN_1812070	119.4079	0.08831169
ILMN_2094875	114.226	0.1350649
ILMN_1665730	146.305	0.02727273
ILMN_2232066	100.8969	0.6610389
ILMN_1767349	112.1305	0.1662338
ILMN_1658257	102.5042	0.5441558
ILMN_2193980	137.3189	0.03766234
ILMN_1687840	160.508	0.01688312
ILMN_2102422	94.56387	0.9532468
ILMN_1788928	104.555	0.4194805
ILMN_2343047	113.1172	0.1532468
ILMN_2343048	99.22015	0.7714286
ILMN_2335302	95.49645	0.9272727
ILMN_1802404	119.7676	0.08181818
ILMN_1776119	141.8347	0.03376623
ILMN_2358714	99.07407	0.7792208
ILMN_1732140	136.6143	0.03766234
ILMN_1713008	99.31151	0.7675325
ILMN_1762093	108.6603	0.2376623
ILMN_1709092	114.9981	0.125974
ILMN_1678409	100.4441	0.6961039
ILMN_1774344	107.0415	0.2974026
ILMN_1676278	126.9824	0.05584415
ILMN_1717466	112.0871	0.1662338
ILMN_1677814	164.6313	0.01298701
ILMN_1788457	116.1737	0.1155844
ILMN_2194009	119.6519	0.08311688
ILMN_2302358	101.5677	0.6155844
ILMN_1706531	166.6404	0.01298701
ILMN_1651964	144.7448	0.02857143
ILMN_1725675	96.50275	0.8987013
ILMN_1778352	97.79025	0.8558441
ILMN_1725414	107.9774	0.261039
ILMN_2293902	102.1036	0.574026
ILMN_1801521	105.3878	0.374026
ILMN_2406654	112.1089	0.1662338
ILMN_3246902	100.626	0.687013
ILMN_3244070	124.7384	0.06363636
ILMN_1767129	100.1003	0.712987
ILMN_1746196	100.3039	0.7025974
ILMN_2366473	102.1886	0.5649351
ILMN_1751453	95.77295	0.9168831
ILMN_1772189	117.9777	0.09740259
ILMN_1652959	103.2757	0.4896104
ILMN_2198897	100.7164	0.6818182
ILMN_1674032	107.4073	0.2818182
ILMN_1737656	108.7731	0.2376623
ILMN_2343917	107.3719	0.2831169
ILMN_1746032	106.6408	0.3116883
ILMN_1651501	224.4964	0.002597403
ILMN_2330267	175.3813	0.01038961
ILMN_1676846	180.4473	0.009090909
ILMN_2392635	166.3576	0.01298701
ILMN_1763875	230.0179	0.001298701
ILMN_2284941	105.1539	0.3857143
ILMN_1781999	133.0273	0.04415584
ILMN_1669201	117.4368	0.1038961
ILMN_1810085	114.0636	0.1363636
ILMN_2262362	104.5206	0.4207792
ILMN_1743638	109.7207	0.2116883
ILMN_1658176	118.0384	0.0961039
ILMN_2329927	130.1706	0.04935065
ILMN_1794782	180.1039	0.009090909
ILMN_1695968	100.2382	0.7077922
ILMN_1789641	93.08543	0.987013
ILMN_1779470	246.9353	0
ILMN_1716592	108.7869	0.2376623
ILMN_1680309	107.0279	0.2987013
ILMN_1743371	103.188	0.4935065
ILMN_1770031	131.0918	0.04935065
ILMN_2338268	112.9127	0.1571429
ILMN_1753912	103.8208	0.4571429
ILMN_1737475	101.4563	0.6285715
ILMN_1745116	108.5734	0.2415584
ILMN_2318685	108.1258	0.2545455
ILMN_2245305	119.2167	0.09090909
ILMN_1707925	104.3599	0.4324675
ILMN_1698311	98.77368	0.8077922
ILMN_2367487	102.2199	0.5649351
ILMN_1785285	98.24467	0.8363636
ILMN_2073969	98.99071	0.7857143
ILMN_1794213	212.046	0.005194805
ILMN_2227533	111.35	0.1805195
ILMN_1769390	134.8762	0.04025974
ILMN_2403446	120.7056	0.07922078
ILMN_1787618	96.3007	0.9064935
ILMN_1723662	126.4254	0.05714286
ILMN_1801767	255.1288	0
ILMN_1700633	169.1283	0.01168831
ILMN_1655702	336.5771	0
ILMN_1706344	118.6278	0.09220779
ILMN_1719498	102.1435	0.5688311
