PROBE_ID	7677153059_L.VALUE	7677153059_L.Detection Pval
ILMN_2367487	95.43995	0.8532467
ILMN_1785285	103.1018	0.5077922
ILMN_2073969	108.5198	0.3207792
ILMN_1794213	210.0999	0.005194805
ILMN_2227533	114.1648	0.1922078
ILMN_1769390	139.5707	0.04415584
ILMN_2403446	116.6546	0.1649351
ILMN_1787618	96.92294	0.7922078
ILMN_1723662	126.6784	0.07792208
ILMN_1801767	290.7203	0
ILMN_1700633	181.5322	0.009090909
ILMN_1655702	317.0209	0
ILMN_1706344	121.0558	0.1116883
ILMN_1719498	106.1991	0.3844156
ILMN_1712707	133.2978	0.05714286
ILMN_1699750	191.1133	0.006493506
ILMN_1739081	200.0956	0.005194805
ILMN_2329958	318.1856	0
ILMN_1775944	109.7754	0.2831169
ILMN_1724497	131.6392	0.05974026
ILMN_1720988	99.68473	0.6935065
ILMN_1707274	93.88763	0.9168831
ILMN_1755658	186.1522	0.007792208
ILMN_1673639	90.67258	0.9688312
ILMN_1713732	171.3831	0.01038961
ILMN_1708922	137.1797	0.04805195
ILMN_2268241	104.4931	0.4428571
ILMN_1741628	106.935	0.3636364
ILMN_1657870	131.6125	0.05974026
ILMN_2240003	96.22329	0.8142857
ILMN_1785424	399.4236	0
ILMN_1731610	125.2698	0.08441558
ILMN_1696682	97.48711	0.7792208
ILMN_2396672	201.247	0.005194805
ILMN_1758825	127.7992	0.07532468
ILMN_1656940	108.8347	0.3051948
ILMN_1656979	128.0539	0.07272727
ILMN_1731433	195.2037	0.005194805
ILMN_1672878	532.8173	0
ILMN_1655114	129.3701	0.06493507
ILMN_1657045	95.8278	0.8363636
ILMN_1766991	91.85225	0.9558442
ILMN_1658083	117.2756	0.1558442
ILMN_1802096	1154.95	0
ILMN_2367165	676.476	0
ILMN_1753370	132.2327	0.05974026
ILMN_1738921	332.1692	0
ILMN_1660199	150.195	0.02467532
ILMN_2331636	133.7518	0.05584415
ILMN_1772123	141.7111	0.04025974
ILMN_1667641	95.7625	0.8376623
ILMN_1763852	112.4716	0.2220779
ILMN_1687303	127.2493	0.07662338
ILMN_1761058	171.7863	0.01038961
ILMN_2225595	191.597	0.006493506
ILMN_1724699	99.54752	0.7025974
ILMN_1775579	138.289	0.04805195
ILMN_1660890	101.8673	0.574026
ILMN_1778104	160.4968	0.01818182
ILMN_2053679	207.8609	0.005194805
ILMN_1795104	214.0663	0.005194805
ILMN_1740920	103.5507	0.4844156
ILMN_2263466	124.7714	0.08571429
ILMN_1806408	948.5582	0
ILMN_2352009	262.7586	0
ILMN_1693148	98.59034	0.7428572
ILMN_1808395	406.3739	0
ILMN_3236270	273.3577	0
ILMN_1743847	109.8995	0.2792208
ILMN_1800008	188.9389	0.007792208
ILMN_2133799	134.4124	0.05584415
ILMN_1708672	153.2286	0.02337662
ILMN_1665945	222.2299	0.002597403
ILMN_1676288	122.0192	0.1077922
ILMN_1693250	102.073	0.5597402
ILMN_2295980	105.5678	0.4077922
ILMN_2410362	121.7727	0.1077922
ILMN_1684271	111.1359	0.2558441
ILMN_1726388	94.37659	0.8948052
ILMN_2106002	114.2558	0.1922078
ILMN_1779685	118.7238	0.1350649
ILMN_1665932	119.4224	0.1311688
ILMN_1769694	94.88313	0.8779221
ILMN_1727251	117.8987	0.1480519
ILMN_1734479	118.2356	0.1415584
ILMN_2368728	137.2322	0.04805195
ILMN_2394897	107.4769	0.3441558
ILMN_2394902	102.2244	0.5493507
ILMN_2287535	108.2592	0.3246753
ILMN_1750295	124.4449	0.08571429
ILMN_3187680	141.9719	0.03896104
ILMN_3242266	112.5436	0.2207792
ILMN_1780630	136.8394	0.04805195
ILMN_1716480	177.1985	0.009090909
ILMN_1715192	114.2709	0.1922078
ILMN_2339410	90.07016	0.9779221
ILMN_1779984	102.1101	0.5571429
ILMN_1667018	101.2084	0.6090909
ILMN_1773243	88.37228	0.9844156
ILMN_3241214	132.7109	0.05714286
ILMN_3235340	110.7453	0.2649351
ILMN_1761000	112.0485	0.2324675
ILMN_3237774	151.4099	0.02337662
ILMN_2333219	99.49341	0.7025974
ILMN_1780485	122.1467	0.1064935
ILMN_1735471	176.1433	0.009090909
ILMN_1699636	313.8354	0
ILMN_2371379	388.8357	0
ILMN_1749014	219.2456	0.002597403
ILMN_1727091	97.6819	0.774026
ILMN_1771348	144.7649	0.03636364
ILMN_2134039	4213.224	0
ILMN_1750800	189.1142	0.007792208
ILMN_1654861	166.3365	0.01298701
ILMN_2121389	104.0053	0.4636364
ILMN_1715543	99.81789	0.687013
ILMN_1739594	107.9164	0.3337662
ILMN_2353978	102.069	0.5597402
ILMN_1785474	146.1147	0.03636364
ILMN_2188959	117.6269	0.151948
ILMN_1716237	137.6134	0.04805195
ILMN_1764321	103.2255	0.5012987
ILMN_2156699	102.826	0.5233766
ILMN_1784756	107.966	0.3324675
ILMN_1728883	102.3069	0.5467532
ILMN_1740265	133.4877	0.05584415
ILMN_1788078	100.8886	0.6207792
ILMN_2252621	110.2436	0.274026
ILMN_2332250	115.8219	0.1753247
ILMN_1719178	98.70289	0.7350649
ILMN_1679600	126.7862	0.07662338
