PROBE_ID	7677153062_L.VALUE	7677153062_L.Detection Pval
ILMN_1762337	88.92686	0.3831169
ILMN_2055271	133.0511	0.03896104
ILMN_1736007	88.48924	0.4012987
ILMN_2383229	88.80301	0.387013
ILMN_1806310	85.4723	0.5558441
ILMN_1779670	79.2739	0.9285714
ILMN_1653355	87.9952	0.4194805
ILMN_1717783	78.43752	0.9610389
ILMN_1705025	86.59294	0.487013
ILMN_1814316	90.90411	0.3051948
ILMN_2359168	88.08206	0.4155844
ILMN_1731507	84.40079	0.6207792
ILMN_1787689	86.61968	0.4857143
ILMN_3241953	94.92065	0.2142857
ILMN_1745607	84.54872	0.612987
ILMN_2136495	82.81091	0.7558442
ILMN_1668111	87.46234	0.4506494
ILMN_2295559	79.57832	0.9168831
ILMN_1735045	98.61082	0.1545455
ILMN_1680754	94.35226	0.2207792
ILMN_2375184	80.79551	0.8701299
ILMN_1659452	92.51263	0.2571429
ILMN_1767388	175.0095	0.01168831
ILMN_1675204	86.76263	0.4766234
ILMN_1673870	89.63885	0.3519481
ILMN_1755321	143.7435	0.02727273
ILMN_1698554	93.75272	0.2311688
ILMN_1814092	89.76362	0.3454545
ILMN_1760414	90.32265	0.3207792
ILMN_2061446	147.5487	0.02597403
ILMN_1676336	107.7132	0.09090909
ILMN_1752884	81.31371	0.8415585
ILMN_1660703	91.86784	0.2792208
ILMN_1668851	78.19514	0.9688312
ILMN_2270015	85.6433	0.5428572
ILMN_1809959	81.28647	0.8415585
ILMN_2357031	77.94981	0.9753247
ILMN_1726986	89.81721	0.3402597
ILMN_3237396	166.4279	0.01558442
ILMN_1688755	111.9108	0.07012987
ILMN_1880387	75.08447	0.9948052
ILMN_1689211	88.61302	0.3974026
ILMN_1653165	142.5274	0.02727273
ILMN_1729835	81.87125	0.8142857
ILMN_1662364	293.0594	0
ILMN_1674698	94.67167	0.2168831
ILMN_1700461	121.4469	0.05194805
ILMN_1784269	123.0682	0.05064935
ILMN_1698189	115.8192	0.06103896
ILMN_2096191	148.7918	0.02597403
ILMN_1678323	82.34109	0.7857143
ILMN_2157219	88.83366	0.3857143
ILMN_1703743	320.5536	0
ILMN_1687609	104.3088	0.0987013
ILMN_2068874	86.30526	0.5
ILMN_1699334	112.4799	0.06623377
ILMN_1670117	83.31062	0.7220779
ILMN_1805104	106.3623	0.0961039
ILMN_2404407	108.4518	0.08571429
ILMN_1766054	606.7905	0
ILMN_1753388	88.64805	0.3948052
ILMN_2070570	79.93029	0.9103896
ILMN_2232084	90.86548	0.3051948
ILMN_1750250	91.41623	0.2935065
ILMN_2361400	83.09332	0.7337663
ILMN_1704579	86.82778	0.474026
ILMN_1687636	103.8389	0.1012987
ILMN_1747627	131.4662	0.04025974
ILMN_1758523	90.53281	0.3142857
ILMN_1794965	97.34716	0.174026
ILMN_1722286	90.37276	0.3181818
ILMN_1784176	100.1869	0.1337662
ILMN_1749001	84.44781	0.6181818
ILMN_1701551	83.58217	0.6961039
ILMN_1795507	84.45372	0.6181818
ILMN_1729894	87.79428	0.4285714
ILMN_1743205	322.8164	0
ILMN_2259319	83.26099	0.7246753
ILMN_2129886	77.6134	0.9805195
ILMN_1796801	169.5864	0.01428571
ILMN_1720501	91.2606	0.2987013
ILMN_1668446	81.81366	0.8155844
ILMN_1812070	96.07388	0.1935065
ILMN_2094875	98.6484	0.1545455
ILMN_1665730	171.09	0.01428571
ILMN_2232066	91.59602	0.2896104
ILMN_1767349	98.06754	0.1597403
ILMN_1658257	85.10779	0.5805195
ILMN_2193980	133.583	0.03766234
ILMN_1687840	142.2882	0.02857143
ILMN_2102422	78.56888	0.9558442
ILMN_1788928	85.77233	0.5363637
ILMN_2343047	103.0533	0.1051948
ILMN_2343048	91.03601	0.3038961
ILMN_2335302	86.25924	0.5038961
ILMN_1802404	104.2765	0.0987013
ILMN_1776119	134.9361	0.03636364
ILMN_2358714	81.20135	0.848052
ILMN_1732140	126.6405	0.04415584
ILMN_1713008	81.91535	0.8103896
ILMN_1762093	97.20287	0.1766234
ILMN_1709092	112.3997	0.06753246
ILMN_1678409	95.39783	0.2051948
ILMN_1774344	85.9632	0.525974
ILMN_1676278	93.59707	0.2350649
ILMN_1717466	100.9394	0.1233766
ILMN_1677814	148.6242	0.02597403
ILMN_1788457	112.2726	0.06753246
ILMN_2194009	96.70331	0.1766234
ILMN_2302358	85.95194	0.525974
ILMN_1706531	175.9869	0.01168831
ILMN_1651964	145.7255	0.02727273
ILMN_1725675	95.89323	0.1948052
ILMN_1778352	82.13969	0.7987013
ILMN_1725414	90.48337	0.3142857
ILMN_2293902	82.05784	0.8012987
ILMN_1801521	92.94395	0.2467532
ILMN_2406654	103.8055	0.1012987
ILMN_3246902	90.7293	0.3077922
ILMN_3244070	110.7729	0.07662338
ILMN_1767129	90.5852	0.312987
ILMN_1746196	88.27751	0.4077922
ILMN_2366473	85.6771	0.5402597
