PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_2073969	107.6722	0.2532468
ILMN_1794213	206.2103	0.002597403
ILMN_2227533	111.805	0.1857143
ILMN_1769390	139.5343	0.03376623
ILMN_2403446	109.2906	0.2142857
ILMN_1787618	90.16875	0.7519481
ILMN_1723662	138.3771	0.03376623
ILMN_1801767	374.8455	0
ILMN_1700633	175.3402	0.01038961
ILMN_1655702	314.5802	0
ILMN_1706344	115.7825	0.1350649
ILMN_1719498	81.63448	0.951948
ILMN_1712707	134.061	0.03896104
ILMN_1699750	202.4378	0.005194805
ILMN_1739081	208.5833	0.002597403
ILMN_2329958	405.96	0
ILMN_1775944	101.5334	0.3909091
ILMN_1724497	117.7263	0.1246753
ILMN_1720988	104.0438	0.3298701
ILMN_1707274	101.514	0.3909091
ILMN_1755658	185.9256	0.007792208
ILMN_1673639	93.15831	0.6623377
ILMN_1713732	189.151	0.007792208
ILMN_1708922	126.2601	0.06363636
ILMN_2268241	93.12984	0.6636364
ILMN_1741628	105.0917	0.3
ILMN_1657870	115.9948	0.1350649
ILMN_2240003	110.254	0.2051948
ILMN_1785424	507.5639	0
ILMN_1731610	145.7397	0.03116883
ILMN_1696682	110.9636	0.2038961
ILMN_2396672	289.4919	0
ILMN_1758825	124.3948	0.07402597
ILMN_1656940	108.167	0.238961
ILMN_1656979	116.7817	0.1298701
ILMN_1731433	203.897	0.005194805
ILMN_1672878	598.5646	0
ILMN_1655114	130.2021	0.04935065
ILMN_1657045	87.74059	0.8220779
ILMN_1766991	96.60406	0.5519481
ILMN_1658083	124.2184	0.07532468
ILMN_1802096	903.5056	0
ILMN_2367165	678.8406	0
ILMN_1753370	117.4317	0.125974
ILMN_1738921	381.7072	0
ILMN_1660199	167.753	0.01168831
ILMN_2331636	145.9883	0.03116883
ILMN_1772123	120.1772	0.1077922
ILMN_1667641	76.99989	0.9922078
ILMN_1763852	149.4772	0.02857143
ILMN_1687303	153.1316	0.02597403
ILMN_1761058	213.3931	0.001298701
ILMN_2225595	235.6243	0
ILMN_1724699	89.44706	0.7766234
ILMN_1775579	140.6817	0.03376623
ILMN_1660890	93.54247	0.6493506
ILMN_1778104	184.4413	0.007792208
ILMN_2053679	267.4927	0
ILMN_1795104	196.0923	0.005194805
ILMN_1740920	119.2236	0.1116883
ILMN_2263466	120.4307	0.1051948
ILMN_1806408	920.1605	0
