PROBE_ID	7677153059_B.VALUE	7677153059_B.Detection Pval
ILMN_1762337	98.69353	0.2584416
ILMN_2055271	164.397	0.01428571
ILMN_1736007	98.6912	0.2584416
ILMN_2383229	98.368	0.2636364
ILMN_1806310	88.79889	0.6857143
ILMN_1779670	88.92177	0.6753247
ILMN_1653355	95.45023	0.3363636
ILMN_1717783	82.95	0.9727273
ILMN_1705025	91.66289	0.5051948
ILMN_1814316	97.73457	0.2766234
ILMN_2359168	100.7024	0.2142857
ILMN_1731507	86.5774	0.8298701
ILMN_1787689	91.29688	0.525974
ILMN_3241953	112.3691	0.09350649
ILMN_1745607	87.14188	0.7987013
ILMN_2136495	84.49199	0.9311689
ILMN_1668111	88.80013	0.6857143
ILMN_2295559	86.87241	0.8064935
ILMN_1735045	106.7451	0.1376623
ILMN_1680754	94.1537	0.3857143
ILMN_2375184	91.39735	0.5194805
ILMN_1659452	91.10446	0.5311688
ILMN_1767388	184.8802	0.006493506
ILMN_1675204	100.7183	0.2142857
ILMN_1673870	103.2352	0.1753247
ILMN_1755321	144.1936	0.03636364
ILMN_1698554	102.8746	0.1779221
ILMN_1814092	93.71677	0.3987013
ILMN_1760414	94.41659	0.3766234
ILMN_2061446	150.8976	0.02727273
ILMN_1676336	112.7163	0.09220779
ILMN_1752884	88.74437	0.687013
ILMN_1660703	89.11284	0.6636364
ILMN_1668851	84.8081	0.9220779
ILMN_2270015	86.34183	0.8454546
ILMN_1809959	83.03594	0.9688312
ILMN_2357031	91.27568	0.5272727
ILMN_1726986	121.6421	0.06233766
ILMN_3237396	177.4353	0.01038961
ILMN_1688755	295.9352	0
ILMN_1880387	87.82983	0.7532467
ILMN_1689211	98.5781	0.261039
ILMN_1653165	133.6112	0.04675325
ILMN_1729835	90.07849	0.6012987
ILMN_1662364	325.2643	0
ILMN_1674698	126.9436	0.05194805
ILMN_1700461	142.3688	0.03766234
ILMN_1784269	119.86	0.06623377
ILMN_1698189	102.2808	0.1805195
ILMN_2096191	139.0956	0.03896104
ILMN_1678323	89.42818	0.6376624
ILMN_2157219	98.10815	0.2701299
ILMN_1703743	278.6138	0
ILMN_1687609	112.2648	0.0948052
ILMN_2068874	85.46684	0.8909091
ILMN_1699334	117.6535	0.07662338
ILMN_1670117	88.67076	0.6948052
ILMN_1805104	108.7665	0.1194805
ILMN_2404407	94.23314	0.3844156
ILMN_1766054	355.0992	0
ILMN_1753388	97.0462	0.2922078
ILMN_2070570	94.84003	0.3649351
ILMN_2232084	99.80429	0.2376623
ILMN_1750250	92.12994	0.4727273
ILMN_2361400	85.15422	0.9090909
ILMN_1704579	92.07412	0.4766234
ILMN_1687636	103.977	0.1675325
ILMN_1747627	140.5932	0.03766234
ILMN_1758523	94.24268	0.3831169
ILMN_1794965	96.81434	0.2987013
ILMN_1722286	91.31715	0.525974
ILMN_1784176	104.5647	0.1597403
ILMN_1749001	95.18983	0.3519481
ILMN_1701551	95.80309	0.3220779
ILMN_1795507	91.64443	0.5051948
ILMN_1729894	98.16883	0.2675325
ILMN_1743205	321.6247	0
ILMN_2259319	93.41709	0.4116883
ILMN_2129886	88.73369	0.6883117
ILMN_1796801	161.8995	0.01818182
ILMN_1720501	108.5741	0.1194805
ILMN_1668446	91.48496	0.5155844
ILMN_1812070	128.2332	0.04935065
ILMN_2094875	119.4645	0.06753246
ILMN_1665730	159.458	0.01818182
ILMN_2232066	95.63539	0.3298701
ILMN_1767349	105.9146	0.1454545
ILMN_1658257	93.79784	0.3974026
ILMN_2193980	141.0896	0.03766234
ILMN_1687840	159.2828	0.01818182
ILMN_2102422	88.46479	0.7090909
ILMN_1788928	101.007	0.2103896
ILMN_2343047	110.6651	0.1064935
ILMN_2343048	111.6829	0.0961039
ILMN_2335302	92.57961	0.4493507
ILMN_1802404	113.0526	0.09220779
ILMN_1776119	127.2673	0.05194805
ILMN_2358714	85.90337	0.864935
ILMN_1732140	128.1621	0.04935065
ILMN_1713008	90.60948	0.5662338
ILMN_1762093	105.145	0.1532468
ILMN_1709092	104.6137	0.1597403
ILMN_1678409	92.0692	0.4766234
ILMN_1774344	94.31294	0.3792208
ILMN_1676278	97.60535	0.2831169
ILMN_1717466	103.6553	0.1727273
ILMN_1677814	128.4551	0.04805195
ILMN_1788457	105.6099	0.1454545
ILMN_2194009	107.1609	0.1324675
ILMN_2302358	84.98061	0.9207792
ILMN_1706531	185.4068	0.006493506
ILMN_1651964	168.774	0.01298701
ILMN_1725675	91.55237	0.5103896
ILMN_1778352	94.67031	0.3688312
ILMN_1725414	88.23748	0.7285714
ILMN_2293902	89.16976	0.6597403
ILMN_1801521	85.99474	0.8623376
ILMN_2406654	107.1317	0.1324675
ILMN_3246902	97.95092	0.2727273
ILMN_3244070	117.0572	0.07792208
ILMN_1767129	99.00023	0.2558441
ILMN_1746196	87.50362	0.774026
ILMN_2366473	90.66268	0.5649351
ILMN_1751453	92.46113	0.4545455
ILMN_1772189	105.7522	0.1454545
ILMN_1652959	88.28915	0.7233766
ILMN_2198897	93.00698	0.4311688
ILMN_1674032	99.75735	0.238961
ILMN_1737656	111.0895	0.1012987
ILMN_2343917	104.2495	0.1636364
ILMN_1746032	96.88476	0.2974026
ILMN_1651501	257.3719	0.001298701
ILMN_2330267	184.1707	0.007792208
ILMN_1676846	188.5435	0.006493506
ILMN_2392635	174.9207	0.01168831
ILMN_1763875	329.1298	0
ILMN_2284941	94.7954	0.3662338
ILMN_1781999	143.854	0.03636364
ILMN_1669201	101.2701	0.2025974
ILMN_1810085	109.0374	0.1168831
ILMN_2262362	86.341	0.8454546
ILMN_1743638	90.77979	0.5584416
ILMN_1658176	103.0118	0.1766234
ILMN_2329927	123.5996	0.05714286
ILMN_1794782	174.8473	0.01168831
ILMN_1695968	92.94564	0.4324675
ILMN_1789641	87.62309	0.7662337
ILMN_1779470	241.9152	0.001298701
ILMN_1716592	94.87003	0.3649351
ILMN_1680309	86.60886	0.8285714
ILMN_1743371	90.54121	0.5727273
ILMN_1770031	136.1466	0.04285714
ILMN_2338268	103.7048	0.1714286
ILMN_1753912	90.8252	0.5545455
ILMN_1737475	97.70518	0.2779221
ILMN_1745116	100.6404	0.2142857
ILMN_2318685	109.2687	0.1155844
ILMN_2245305	113.7828	0.09090909
ILMN_1707925	89.80077	0.6207792
ILMN_1698311	97.80024	0.2753247
ILMN_2367487	93.53838	0.4064935
ILMN_1785285	95.09071	0.3584416
ILMN_2073969	96.82891	0.2987013
ILMN_1794213	220.4229	0.005194805
ILMN_2227533	106.3659	0.1415584
ILMN_1769390	120.9206	0.06363636
ILMN_2403446	111.6236	0.0961039
ILMN_1787618	79.82371	0.9974026
ILMN_1723662	116.8519	0.07792208
ILMN_1801767	246.6917	0.001298701
ILMN_1700633	176.037	0.01038961
ILMN_1655702	295.1791	0
ILMN_1706344	119.7802	0.06753246
ILMN_1719498	88.55589	0.7
ILMN_1712707	129.7277	0.04805195
ILMN_1699750	174.8149	0.01168831
ILMN_1739081	194.551	0.005194805
