PROBE_ID	7677153059_F.VALUE	7677153059_F.Detection Pval
ILMN_1785285	82.90234	0.438961
ILMN_2073969	87.36549	0.2831169
ILMN_1794213	205.9989	0.002597403
ILMN_2227533	96.32075	0.1285714
ILMN_1769390	140.8427	0.02077922
ILMN_2403446	104.8471	0.07402597
ILMN_1787618	81.3349	0.548052
ILMN_1723662	118.3394	0.04415584
ILMN_1801767	399.9776	0
ILMN_1700633	170.0116	0.009090909
ILMN_1655702	453.8732	0
ILMN_1706344	108.2717	0.06103896
ILMN_1719498	88.49461	0.2493507
ILMN_1712707	133.9283	0.02337662
ILMN_1699750	154.4202	0.01298701
ILMN_1739081	171.8507	0.009090909
ILMN_2329958	390.1133	0
ILMN_1775944	81.67855	0.5298702
ILMN_1724497	126.1426	0.03246753
ILMN_1720988	94.38773	0.1480519
ILMN_1707274	76.07574	0.9064935
ILMN_1755658	196.4	0.003896104
ILMN_1673639	85.17398	0.3558442
ILMN_1713732	175.0797	0.007792208
ILMN_1708922	130.3014	0.02727273
ILMN_2268241	83.1162	0.4298701
ILMN_1741628	86.2266	0.3064935
ILMN_1657870	100.5773	0.09740259
ILMN_2240003	79.0129	0.7077922
ILMN_1785424	409.6143	0
ILMN_1731610	108.3206	0.06103896
ILMN_1696682	86.00983	0.3155844
ILMN_2396672	199.697	0.002597403
ILMN_1758825	121.5396	0.03896104
ILMN_1656940	92.66742	0.1649351
ILMN_1656979	106.9853	0.06623377
ILMN_1731433	186.2738	0.005194805
ILMN_1672878	631.0182	0
ILMN_1655114	124.2463	0.03376623
ILMN_1657045	79.37694	0.6844156
ILMN_1766991	86.94698	0.2961039
ILMN_1658083	102.7249	0.08181818
ILMN_1802096	1512.505	0
ILMN_2367165	813.8715	0
ILMN_1753370	107.4388	0.06363636
ILMN_1738921	393.4356	0
ILMN_1660199	155.9242	0.01168831
ILMN_2331636	118.6781	0.04415584
ILMN_1772123	116.4344	0.04935065
ILMN_1667641	75.5928	0.9272727
ILMN_1763852	121.4002	0.03896104
ILMN_1687303	120.7201	0.04155844
ILMN_1761058	200.1317	0.002597403
ILMN_2225595	175.8493	0.007792208
ILMN_1724699	85.79856	0.3246753
ILMN_1775579	134.2187	0.02337662
ILMN_1660890	77.09322	0.8441558
ILMN_1778104	176.0025	0.006493506
ILMN_2053679	256.7471	0
ILMN_1795104	183.4651	0.005194805
ILMN_1740920	88.25179	0.2571429
ILMN_2263466	104.9021	0.07402597
ILMN_1806408	1167.937	0
ILMN_2352009	257.3295	0
ILMN_1693148	77.86191	0.7948052
ILMN_1808395	410.5136	0
ILMN_3236270	291.7304	0
ILMN_1743847	86.24932	0.3064935
ILMN_1800008	207.2738	0.002597403
ILMN_2133799	81.90819	0.5064935
ILMN_1708672	169.0551	0.009090909
ILMN_1665945	247.6475	0
ILMN_1676288	94.00351	0.1493506
ILMN_1693250	95.89022	0.1298701
ILMN_2295980	89.40572	0.2272727
ILMN_2410362	95.85812	0.1298701
ILMN_1684271	95.47272	0.1376623
ILMN_1726388	74.77077	0.951948
ILMN_2106002	92.18783	0.174026
ILMN_1779685	106.2844	0.06883117
ILMN_1665932	92.72394	0.1649351
ILMN_1769694	81.17612	0.561039
ILMN_1727251	92.23143	0.174026
ILMN_1734479	96.7241	0.1246753
ILMN_2368728	113.6792	0.05064935
ILMN_2394897	76.42415	0.8883117
ILMN_2394902	86.65535	0.3012987
ILMN_2287535	92.79262	0.1649351
ILMN_1750295	103.3792	0.08181818
ILMN_3187680	159.9586	0.01038961
ILMN_3242266	86.17284	0.3077922
ILMN_1780630	118.6274	0.04415584
ILMN_1716480	151.1776	0.01428571
ILMN_1715192	86.37076	0.3038961
ILMN_2339410	81.01138	0.5662338
ILMN_1779984	81.41739	0.5428572
ILMN_1667018	96.1936	0.1285714
ILMN_1773243	77.39642	0.8285714
ILMN_3241214	103.4246	0.08181818
ILMN_3235340	99.33024	0.1038961
ILMN_1761000	83.69594	0.4051948
ILMN_3237774	114.5804	0.04935065
ILMN_2333219	73.86452	0.9727273
ILMN_1780485	105.1174	0.07142857
ILMN_1735471	148.4899	0.01688312
ILMN_1699636	372.3628	0
ILMN_2371379	429.5562	0
ILMN_1749014	245.7256	0
ILMN_1727091	82.85254	0.4415585
ILMN_1771348	118.0034	0.04415584
ILMN_2134039	4136.38	0
ILMN_1750800	176.1628	0.006493506
ILMN_1654861	140.8646	0.02077922
ILMN_2121389	77.85773	0.7948052
ILMN_1715543	88.01537	0.261039
ILMN_1739594	89.31142	0.2324675
ILMN_2353978	78.00595	0.7818182
ILMN_1785474	127.6902	0.02857143
ILMN_2188959	96.30811	0.1285714
ILMN_1716237	125.6495	0.03246753
ILMN_1764321	87.21113	0.287013
ILMN_2156699	76.31068	0.8961039
ILMN_1784756	91.94801	0.1792208
ILMN_1728883	81.21098	0.5597402
ILMN_1740265	124.2081	0.03376623
ILMN_1788078	78.52808	0.7363636
ILMN_2252621	82.63851	0.4545455
ILMN_2332250	90.73573	0.2038961
ILMN_1719178	81.39069	0.5454546
ILMN_1679600	99.69989	0.1038961
ILMN_2367070	134.9378	0.02337662
ILMN_1658995	207.8082	0.002597403
ILMN_1750158	317.2275	0
ILMN_1668839	92.48017	0.1714286
ILMN_1765767	126.1998	0.03246753
ILMN_1685703	78.92176	0.7116883
ILMN_1743396	112.5536	0.05064935
ILMN_1743680	81.90766	0.5064935
ILMN_1669633	254.6034	0
ILMN_2344956	601.2749	0
ILMN_2104830	121.3557	0.03896104
ILMN_2078599	106.3385	0.06883117
ILMN_2234343	94.25718	0.1480519
ILMN_1706598	120.2581	0.04415584
ILMN_2306955	130.9062	0.02727273
ILMN_1758323	213.7765	0.002597403
ILMN_1728331	215.6714	0.002597403
ILMN_2351906	82.78723	0.4441558
ILMN_1705637	157.6644	0.01168831
ILMN_1784203	139.8615	0.02077922
ILMN_1666690	100.7992	0.09350649
ILMN_1654468	184.3831	0.005194805
ILMN_2320277	96.60699	0.1272727
ILMN_2227011	80.26458	0.6155844
ILMN_1730002	94.24602	0.1480519
ILMN_3236756	110.9706	0.05324675
ILMN_1716832	83.21146	0.4272727
ILMN_1684585	1482.711	0
ILMN_2360705	253.248	0
ILMN_1654414	104.2857	0.07662338
ILMN_1666096	106.0262	0.06883117
ILMN_2391458	114.1923	0.04935065
ILMN_2285506	96.25408	0.1285714
ILMN_1691714	88.56695	0.2454545
ILMN_1683598	375.1473	0
ILMN_2370882	178.3967	0.006493506
ILMN_2273911	77.3438	0.8311688
ILMN_1807914	83.19263	0.4298701
ILMN_1678517	81.23297	0.5584416
ILMN_1705247	455.3967	0
ILMN_1737418	93.74735	0.1532468
ILMN_2278242	77.58461	0.8155844
ILMN_1730025	84.11365	0.3909091
ILMN_2378555	114.1362	0.04935065
ILMN_1661434	76.87188	0.8545455
ILMN_1809623	75.20505	0.9402598
ILMN_1657592	76.79881	0.8584415
ILMN_1765912	84.97422	0.3623376
ILMN_1746128	80.85713	0.5727273
ILMN_1685952	85.72852	0.3285714
ILMN_1662738	81.80711	0.5194805
ILMN_1771084	97.3453	0.1168831
ILMN_1791923	76.5954	0.8753247
ILMN_1801698	74.07913	0.9662338
ILMN_1766966	80.52759	0.6
ILMN_2070792	87.25567	0.2857143
ILMN_1752269	167.5092	0.01038961
ILMN_1697510	91.08239	0.1974026
