PROBE_ID	7677153062_J.VALUE	7677153062_J.Detection Pval
ILMN_1762337	97.22791	0.4194805
ILMN_2055271	158.9176	0.01688312
ILMN_1736007	96.25464	0.4714286
ILMN_2383229	101.0949	0.2779221
ILMN_1806310	97.71475	0.4038961
ILMN_1779670	92.7416	0.7168831
ILMN_1653355	94.99457	0.5519481
ILMN_1717783	87.74703	0.9584416
ILMN_1705025	96.82117	0.4415585
ILMN_1814316	98.62383	0.3623376
ILMN_2359168	101.3444	0.2688312
ILMN_1731507	97.56359	0.4064935
ILMN_1787689	89.8281	0.8805195
ILMN_3241953	106.8669	0.151948
ILMN_1745607	90.94108	0.8337662
ILMN_2136495	94.21292	0.6103896
ILMN_1668111	93.42313	0.6532468
ILMN_2295559	94.97011	0.5519481
ILMN_1735045	110.4306	0.1155844
ILMN_1680754	96.21965	0.474026
ILMN_2375184	95.25733	0.5363637
ILMN_1659452	99.43234	0.3337662
ILMN_1767388	176.6219	0.007792208
ILMN_1675204	99.42039	0.3350649
ILMN_1673870	103.3387	0.2220779
ILMN_1755321	150.0365	0.01948052
ILMN_1698554	107.5146	0.1402597
ILMN_1814092	94.96187	0.5519481
ILMN_1760414	106.2669	0.1571429
ILMN_2061446	137.8286	0.03896104
ILMN_1676336	115.9374	0.08831169
ILMN_1752884	97.51362	0.4077922
ILMN_1660703	98.76607	0.3571429
ILMN_1668851	92.07083	0.7675325
ILMN_2270015	94.84013	0.5597402
ILMN_1809959	90.83318	0.8363636
ILMN_2357031	98.37901	0.3727273
ILMN_1726986	116.3784	0.08701298
ILMN_3237396	164.9159	0.01298701
ILMN_1688755	205.2802	0.005194805
ILMN_1880387	91.04388	0.8272727
ILMN_1689211	95.86015	0.4948052
ILMN_1653165	143.7792	0.02597403
ILMN_1729835	85.87113	0.9857143
ILMN_1662364	288.9866	0
ILMN_1674698	121.6223	0.06493507
ILMN_1700461	125.9641	0.05194805
ILMN_1784269	122.9861	0.06233766
ILMN_1698189	112.7056	0.1
ILMN_2096191	148.6762	0.02207792
ILMN_1678323	90.67709	0.851948
ILMN_2157219	100.6895	0.2896104
ILMN_1703743	252.6098	0
ILMN_1687609	118.348	0.07792208
ILMN_2068874	94.15694	0.6155844
ILMN_1699334	114.5681	0.09220779
ILMN_1670117	90.82652	0.8363636
ILMN_1805104	105.2948	0.174026
ILMN_2404407	92.71738	0.7181818
ILMN_1766054	370.0674	0
ILMN_1753388	98.35364	0.3753247
ILMN_2070570	95.51026	0.5220779
ILMN_2232084	101.3934	0.2688312
ILMN_1750250	90.30966	0.8623376
ILMN_2361400	93.21042	0.6688312
ILMN_1704579	99.56257	0.3311688
ILMN_1687636	102.4651	0.2428571
ILMN_1747627	122.0506	0.06233766
ILMN_1758523	99.77296	0.3272727
ILMN_1794965	100.1676	0.3142857
ILMN_1722286	88.23224	0.9415584
ILMN_1784176	107.0678	0.1506494
ILMN_1749001	98.43945	0.3727273
ILMN_1701551	92.74521	0.7168831
ILMN_1795507	91.62643	0.7922078
ILMN_1729894	96.56894	0.4558442
ILMN_1743205	310.8282	0
ILMN_2259319	100.869	0.2818182
ILMN_2129886	92.23442	0.7519481
ILMN_1796801	164.6375	0.01298701
ILMN_1720501	102.7777	0.2337662
ILMN_1668446	97.68298	0.4038961
ILMN_1812070	112.7109	0.1
ILMN_2094875	111.0976	0.1116883
ILMN_1665730	142.0868	0.03116883
ILMN_2232066	99.51756	0.3324675
ILMN_1767349	101.3808	0.2688312
ILMN_1658257	101.456	0.2675325
ILMN_2193980	143.2375	0.02597403
ILMN_1687840	143.996	0.02597403
ILMN_2102422	92.61561	0.7298701
ILMN_1788928	100.4075	0.2987013
ILMN_2343047	118.7091	0.07402597
ILMN_2343048	95.9398	0.4896104
ILMN_2335302	92.01483	0.7714286
ILMN_1802404	116.6001	0.08571429
ILMN_1776119	135.6256	0.04025974
ILMN_2358714	91.06355	0.8272727
ILMN_1732140	137.5636	0.03896104
ILMN_1713008	91.54176	0.7987013
ILMN_1762093	104.7525	0.1844156
ILMN_1709092	115.0891	0.08961039
ILMN_1678409	102.6564	0.2376623
ILMN_1774344	104.9401	0.1831169
ILMN_1676278	107.5894	0.138961
ILMN_1717466	109.1113	0.1194805
ILMN_1677814	168.0929	0.01168831
ILMN_1788457	98.98184	0.3467532
ILMN_2194009	102.6344	0.2376623
ILMN_2302358	88.86268	0.9233766
ILMN_1706531	156.494	0.01688312
ILMN_1651964	130.4769	0.04675325
ILMN_1725675	95.05914	0.5467532
ILMN_1778352	95.85574	0.4961039
ILMN_1725414	92.73605	0.7168831
ILMN_2293902	91.2735	0.8194805
ILMN_1801521	95.19779	0.5389611
ILMN_2406654	110.6768	0.1142857
ILMN_3246902	96.64935	0.4506494
ILMN_3244070	114.1111	0.0948052
ILMN_1767129	99.74796	0.3285714
ILMN_1746196	100.3675	0.3012987
ILMN_2366473	95.09954	0.5454546
ILMN_1751453	92.55902	0.7350649
