PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_1785285	75.44408	0.5311688
ILMN_2073969	82.09255	0.3012987
ILMN_1794213	217.6383	0.005194805
ILMN_2227533	90.24998	0.1844156
ILMN_1769390	117.4942	0.05454545
ILMN_2403446	118.8552	0.05194805
ILMN_1787618	73.09968	0.638961
ILMN_1723662	119.3763	0.05194805
ILMN_1801767	625.7064	0
ILMN_1700633	187.3705	0.009090909
ILMN_1655702	478.5714	0
ILMN_1706344	96.99732	0.1233766
ILMN_1719498	83.41089	0.2818182
ILMN_1712707	129.1435	0.04545455
ILMN_1699750	210.2863	0.006493506
ILMN_1739081	225.9042	0.003896104
ILMN_2329958	400.3446	0
ILMN_1775944	77.62048	0.4298701
ILMN_1724497	112.8221	0.06493507
ILMN_1720988	84.75665	0.2571429
ILMN_1707274	69.41194	0.8688312
ILMN_1755658	161.726	0.01818182
ILMN_1673639	76.76604	0.4675325
ILMN_1713732	183.6284	0.01168831
ILMN_1708922	140.263	0.03506494
ILMN_2268241	90.44092	0.1818182
ILMN_1741628	83.79832	0.274026
ILMN_1657870	111.04	0.07402597
ILMN_2240003	81.62432	0.3142857
ILMN_1785424	535.5616	0
ILMN_1731610	139.9854	0.03636364
ILMN_1696682	71.73567	0.7363636
ILMN_2396672	304.3969	0
ILMN_1758825	130.7237	0.04415584
ILMN_1656940	84.07841	0.2714286
ILMN_1656979	107.7901	0.08051948
ILMN_1731433	197.8937	0.007792208
ILMN_1672878	634.0098	0
ILMN_1655114	146.7447	0.02727273
ILMN_1657045	72.01373	0.7090909
ILMN_1766991	74.32844	0.5662338
ILMN_1658083	92.68903	0.1532468
ILMN_1802096	1622.926	0
ILMN_2367165	658.5059	0
ILMN_1753370	104.9913	0.08961039
ILMN_1738921	353.2007	0
ILMN_1660199	127.0468	0.04805195
ILMN_2331636	113.3797	0.06363636
ILMN_1772123	110.9686	0.07402597
ILMN_1667641	69.57195	0.8623376
ILMN_1763852	107.0063	0.08311688
ILMN_1687303	132.429	0.04285714
ILMN_1761058	214.6921	0.006493506
ILMN_2225595	194.538	0.007792208
ILMN_1724699	81.58874	0.3142857
ILMN_1775579	120.4148	0.05064935
ILMN_1660890	75.68256	0.5155844
ILMN_1778104	182.8624	0.01168831
ILMN_2053679	232.6924	0.003896104
ILMN_1795104	230.2008	0.003896104
ILMN_1740920	83.05946	0.2844156
ILMN_2263466	121.137	0.05064935
ILMN_1806408	1017.872	0
ILMN_2352009	187.077	0.009090909
ILMN_1693148	72.34958	0.6883117
ILMN_1808395	397.8405	0
ILMN_3236270	381.348	0
ILMN_1743847	74.0898	0.5805195
ILMN_1800008	182.929	0.01168831
ILMN_2133799	87.25634	0.2194805
ILMN_1708672	154.0685	0.02077922
ILMN_1665945	247.6861	0.003896104
ILMN_1676288	92.21359	0.1558442
ILMN_1693250	103.9826	0.09090909
ILMN_2295980	97.74194	0.1181818
ILMN_2410362	95.21519	0.1324675
ILMN_1684271	100.5951	0.1012987
ILMN_1726388	71.14948	0.7766234
ILMN_2106002	93.78264	0.1441558
ILMN_1779685	118.9187	0.05194805
ILMN_1665932	82.96638	0.2857143
ILMN_1769694	72.45307	0.6805195
ILMN_1727251	97.2187	0.1220779
ILMN_1734479	88.50546	0.2051948
ILMN_2368728	129.8318	0.04545455
ILMN_2394897	75.89493	0.5038961
ILMN_2394902	85.15861	0.2454545
