PROBE_ID	7677153059_J.VALUE	7677153059_J.Detection Pval
ILMN_2367487	71.08628	0.7012987
ILMN_1785285	82.94971	0.2246753
ILMN_2073969	79.0522	0.3103896
ILMN_1794213	209.0605	0.003896104
ILMN_2227533	98.06207	0.08181818
ILMN_1769390	154.2841	0.01818182
ILMN_2403446	112.4271	0.04805195
ILMN_1787618	67.81345	0.8857143
ILMN_1723662	116.7841	0.04415584
ILMN_1801767	363.6394	0
ILMN_1700633	190.538	0.005194805
ILMN_1655702	433.283	0
ILMN_1706344	109.2415	0.05064935
ILMN_1719498	87.91307	0.1623377
ILMN_1712707	135.5707	0.03116883
ILMN_1699750	174.0211	0.009090909
ILMN_1739081	173.4159	0.009090909
ILMN_2329958	448.1909	0
ILMN_1775944	74.10988	0.5285714
ILMN_1724497	102.3639	0.06623377
ILMN_1720988	87.1894	0.1701299
ILMN_1707274	68.19991	0.8727273
ILMN_1755658	252.2275	0.001298701
ILMN_1673639	69.01723	0.8168831
ILMN_1713732	186.4258	0.006493506
ILMN_1708922	122.9242	0.04155844
ILMN_2268241	75.36996	0.4662338
ILMN_1741628	82.43975	0.2337662
ILMN_1657870	93.50496	0.1116883
ILMN_2240003	78.00182	0.3428572
ILMN_1785424	512.3934	0
ILMN_1731610	107.8585	0.05454545
ILMN_1696682	75.194	0.474026
ILMN_2396672	207.9463	0.003896104
ILMN_1758825	117.3559	0.04415584
ILMN_1656940	103.106	0.06493507
ILMN_1656979	102.3112	0.06623377
ILMN_1731433	169.6072	0.009090909
ILMN_1672878	774.5284	0
ILMN_1655114	114.5907	0.04415584
ILMN_1657045	72.56127	0.6077922
ILMN_1766991	70.28976	0.7519481
ILMN_1658083	94.91498	0.1025974
ILMN_1802096	1915.954	0
ILMN_2367165	735.3613	0
ILMN_1753370	103.3874	0.06493507
ILMN_1738921	306.7918	0
ILMN_1660199	175.3931	0.009090909
ILMN_2331636	135.0596	0.03116883
ILMN_1772123	116.03	0.04415584
ILMN_1667641	64.44299	0.9792208
ILMN_1763852	98.66627	0.07792208
ILMN_1687303	136.209	0.03116883
ILMN_1761058	199.2456	0.005194805
ILMN_2225595	202.7399	0.005194805
ILMN_1724699	75.2379	0.4701299
ILMN_1775579	134.0531	0.03116883
ILMN_1660890	69.50416	0.7909091
ILMN_1778104	188.4657	0.006493506
ILMN_2053679	293.306	0
ILMN_1795104	182.4434	0.006493506
ILMN_1740920	79.95679	0.2883117
ILMN_2263466	123.3243	0.04025974
ILMN_1806408	1155.884	0
ILMN_2352009	240.4986	0.001298701
ILMN_1693148	68.20329	0.8727273
ILMN_1808395	439.7142	0
ILMN_3236270	345.6252	0
ILMN_1743847	77.24771	0.3662338
ILMN_1800008	237.6158	0.001298701
ILMN_2133799	88.02091	0.161039
ILMN_1708672	172.5867	0.009090909
ILMN_1665945	322.063	0
ILMN_1676288	85.9062	0.187013
ILMN_1693250	91.50832	0.1220779
ILMN_2295980	97.87764	0.08181818
ILMN_2410362	92.54729	0.1142857
ILMN_1684271	92.05884	0.1155844
ILMN_1726388	69.38572	0.8
ILMN_2106002	90.70925	0.1272727
ILMN_1779685	91.25426	0.1233766
ILMN_1665932	76.93111	0.3805195
ILMN_1769694	72.76637	0.5896104
ILMN_1727251	88.54622	0.1545455
ILMN_1734479	80.21514	0.2805195
ILMN_2368728	113.8661	0.04805195
ILMN_2394897	72.31245	0.6181818
ILMN_2394902	81.66952	0.2519481
ILMN_2287535	83.2254	0.2207792
ILMN_1750295	88.73862	0.1545455
ILMN_3187680	135.5974	0.03116883
ILMN_3242266	86.51676	0.1753247
ILMN_1780630	109.5727	0.04935065
ILMN_1716480	138.8018	0.02987013
ILMN_1715192	89.34827	0.1363636
ILMN_2339410	71.04607	0.7077922
ILMN_1779984	72.48206	0.6142857
ILMN_1667018	92.11903	0.1142857
ILMN_1773243	67.46873	0.9
ILMN_3241214	98.73613	0.07792208
ILMN_3235340	93.60187	0.1116883
ILMN_1761000	79.69511	0.2948052
ILMN_3237774	138.5749	0.02987013
ILMN_2333219	68.07941	0.8727273
ILMN_1780485	105.2384	0.06103896
ILMN_1735471	137.3875	0.02987013
ILMN_1699636	368.5221	0
ILMN_2371379	462.4867	0
ILMN_1749014	230.4961	0.002597403
ILMN_1727091	77.00723	0.3779221
ILMN_1771348	112.3595	0.04805195
ILMN_2134039	4081.331	0
ILMN_1750800	212.7595	0.003896104
ILMN_1654861	149.2461	0.02077922
ILMN_2121389	67.74499	0.887013
ILMN_1715543	78.04984	0.3428572
ILMN_1739594	85.06166	0.1935065
ILMN_2353978	71.18776	0.6922078
ILMN_1785474	124.3438	0.03896104
ILMN_2188959	87.96859	0.1623377
ILMN_1716237	118.1568	0.04415584
ILMN_1764321	88.69614	0.1545455
ILMN_2156699	76.68519	0.387013
ILMN_1784756	82.15339	0.2402597
ILMN_1728883	75.58105	0.4532467
ILMN_1740265	140.8006	0.02727273
ILMN_1788078	70.1922	0.7558442
ILMN_2252621	74.67296	0.5038961
ILMN_2332250	88.34906	0.1571429
ILMN_1719178	78.9287	0.3181818
ILMN_1679600	96.43907	0.08961039
ILMN_2367070	156.429	0.01558442
ILMN_1658995	176.721	0.007792208
ILMN_1750158	312.5212	0
ILMN_1668839	90.92571	0.1246753
ILMN_1765767	109.474	0.04935065
ILMN_1685703	73.53219	0.5597402
ILMN_1743396	122.5658	0.04285714
ILMN_1743680	67.82431	0.8844156
ILMN_1669633	254.4216	0.001298701
ILMN_2344956	501.1025	0
ILMN_2104830	134.6406	0.03116883
ILMN_2078599	104.7637	0.06233766
ILMN_2234343	87.16456	0.1701299
ILMN_1706598	105.5016	0.05974026
ILMN_2306955	117.3183	0.04415584
ILMN_1758323	172.2435	0.009090909
ILMN_1728331	252.1955	0.001298701
ILMN_2351906	76.51321	0.3909091
ILMN_1705637	142.4739	0.02337662
ILMN_1784203	201.6634	0.005194805
ILMN_1666690	115.9826	0.04415584
ILMN_1654468	164.3989	0.01168831
ILMN_2320277	88.83834	0.1480519
ILMN_2227011	87.12303	0.1701299
ILMN_1730002	81.98672	0.2441558
ILMN_3236756	98.87473	0.07792208
ILMN_1716832	80.92123	0.2675325
ILMN_1684585	1735.251	0
ILMN_2360705	243.6278	0.001298701
ILMN_1654414	92.05435	0.1155844
ILMN_1666096	102.0351	0.06623377
ILMN_2391458	105.7573	0.05974026
ILMN_2285506	87.49271	0.1636364
ILMN_1691714	79.91274	0.2883117
ILMN_1683598	574.7938	0
ILMN_2370882	197.1702	0.005194805
ILMN_2273911	71.61192	0.6649351
ILMN_1807914	74.69164	0.5038961
ILMN_1678517	70.11644	0.7597402
ILMN_1705247	505.5567	0
ILMN_1737418	79.66784	0.2948052
ILMN_2278242	71.0316	0.7090909
ILMN_1730025	78.15719	0.3415585
ILMN_2378555	115.7726	0.04415584
ILMN_1661434	71.81013	0.6493506
ILMN_1809623	72.24197	0.6194805
ILMN_1657592	70.11316	0.7597402
ILMN_1765912	71.79414	0.6506494
ILMN_1746128	72.61499	0.6064935
ILMN_1685952	77.75489	0.3480519
ILMN_1662738	73.00593	0.5766234
ILMN_1771084	88.56051	0.1545455
ILMN_1791923	68.7912	0.8324676
ILMN_1801698	71.89941	0.6428571
ILMN_1766966	71.73786	0.6545454
ILMN_2070792	84.74778	0.1974026
ILMN_1752269	172.7035	0.009090909
ILMN_1697510	79.54162	0.3
ILMN_2254962	83.5108	0.2181818
ILMN_2336595	441.43	0
ILMN_1714197	490.9377	0
ILMN_1742859	70.95264	0.7103896
ILMN_1659885	80.61007	0.2727273
ILMN_2125869	93.53407	0.1116883
ILMN_1671703	336.124	0
ILMN_2152131	7844.963	0
ILMN_1777296	6726.381	0
ILMN_2038777	8138.993	0
ILMN_3246895	70.79572	0.7168831
ILMN_1658660	72.51006	0.6103896
ILMN_1829919	69.30116	0.8051948
ILMN_2053178	7096.067	0
ILMN_1704961	2038.802	0
ILMN_1795325	69.43999	0.7974026
ILMN_1749297	294.1318	0
ILMN_2328280	187.8513	0.006493506
ILMN_1657855	186.1895	0.006493506
