PROBE_ID	7677153059_A.VALUE	7677153059_A.Detection Pval
ILMN_2367487	95.36095	0.7649351
ILMN_1785285	105.9571	0.2636364
ILMN_2073969	100.9802	0.4467532
ILMN_1794213	218.7238	0.005194805
ILMN_2227533	109.9493	0.1844156
ILMN_1769390	128.1889	0.05844156
ILMN_2403446	126.1361	0.06623377
ILMN_1787618	94.04246	0.8454546
ILMN_1723662	131.1786	0.05064935
ILMN_1801767	238.0489	0.002597403
ILMN_1700633	187.4382	0.01038961
ILMN_1655702	269.5758	0
ILMN_1706344	117.5957	0.0987013
ILMN_1719498	103.3922	0.3428572
ILMN_1712707	133.3757	0.05064935
ILMN_1699750	199.0426	0.006493506
ILMN_1739081	208.8229	0.005194805
ILMN_2329958	309.045	0
ILMN_1775944	101.1668	0.438961
ILMN_1724497	123.4377	0.07402597
ILMN_1720988	104.9264	0.2987013
ILMN_1707274	92.76229	0.9051948
ILMN_1755658	162.5219	0.02597403
ILMN_1673639	98.0366	0.5974026
ILMN_1713732	180.6368	0.01298701
ILMN_1708922	135.8981	0.04415584
ILMN_2268241	101.331	0.4311688
ILMN_1741628	108.399	0.2116883
ILMN_1657870	124.1572	0.07142857
ILMN_2240003	107.2657	0.2324675
ILMN_1785424	367.4001	0
ILMN_1731610	114.299	0.1181818
ILMN_1696682	99.47223	0.5246753
ILMN_2396672	185.537	0.01038961
ILMN_1758825	131.0269	0.05064935
ILMN_1656940	113.8932	0.1220779
ILMN_1656979	123.95	0.07272727
ILMN_1731433	196.61	0.006493506
ILMN_1672878	502.6819	0
ILMN_1655114	117.0143	0.1
ILMN_1657045	102.9283	0.3558442
ILMN_1766991	102.725	0.3649351
ILMN_1658083	115.816	0.1038961
ILMN_1802096	1046.053	0
ILMN_2367165	680.5338	0
ILMN_1753370	123.0742	0.07402597
ILMN_1738921	361.3845	0
ILMN_1660199	171.6829	0.01558442
ILMN_2331636	127.5857	0.06233766
ILMN_1772123	127.5693	0.06233766
ILMN_1667641	91.67284	0.938961
ILMN_1763852	120.3608	0.08311688
ILMN_1687303	120.1451	0.08441558
ILMN_1761058	163.094	0.02597403
ILMN_2225595	178.1938	0.01428571
ILMN_1724699	100.6861	0.4584416
ILMN_1775579	165.1094	0.02467532
ILMN_1660890	94.86476	0.8012987
ILMN_1778104	139.1949	0.04285714
ILMN_2053679	188.5148	0.009090909
ILMN_1795104	196.3915	0.006493506
ILMN_1740920	103.799	0.3337662
ILMN_2263466	122.5115	0.07532468
ILMN_1806408	926.616	0
ILMN_2352009	220.3004	0.003896104
ILMN_1693148	89.04816	0.987013
ILMN_1808395	522.6686	0
ILMN_3236270	280.3056	0
ILMN_1743847	100.7945	0.4532467
ILMN_1800008	170.026	0.02077922
ILMN_2133799	93.97178	0.8506494
ILMN_1708672	160.7132	0.02597403
ILMN_1665945	205.0679	0.005194805
ILMN_1676288	102.4736	0.3727273
ILMN_1693250	102.0025	0.3896104
ILMN_2295980	109.5067	0.1883117
ILMN_2410362	112.7955	0.138961
ILMN_1684271	115.1816	0.1103896
ILMN_1726388	89.31551	0.9844156
ILMN_2106002	109.6498	0.1883117
ILMN_1779685	122.3825	0.07662338
ILMN_1665932	113.4496	0.1285714
ILMN_1769694	96.38165	0.7025974
ILMN_1727251	112.7237	0.138961
ILMN_1734479	111.2837	0.1545455
ILMN_2368728	138.3138	0.04285714
ILMN_2394897	98.4271	0.5896104
ILMN_2394902	103.1324	0.3493507
ILMN_2287535	110.4442	0.1753247
ILMN_1750295	113.3931	0.1285714
ILMN_3187680	131.0724	0.05064935
ILMN_3242266	105.4003	0.2805195
ILMN_1780630	138.8031	0.04285714
ILMN_1716480	155.938	0.02857143
ILMN_1715192	108.1625	0.212987
ILMN_2339410	95.04919	0.7909091
ILMN_1779984	97.39436	0.635065
ILMN_1667018	116.5183	0.1012987
ILMN_1773243	94.31892	0.8311688
ILMN_3241214	124.8725	0.06883117
ILMN_3235340	108.9944	0.1974026
ILMN_1761000	103.2601	0.3467532
ILMN_3237774	139.3092	0.04285714
ILMN_2333219	91.79821	0.9376624
ILMN_1780485	121.4192	0.07922078
ILMN_1735471	180.5661	0.01298701
ILMN_1699636	332.8056	0
ILMN_2371379	357.6667	0
ILMN_1749014	178.9247	0.01298701
ILMN_1727091	100.1639	0.4792208
ILMN_1771348	115.7301	0.1038961
ILMN_2134039	5561.336	0
ILMN_1750800	176.2227	0.01428571
ILMN_1654861	138.1067	0.04285714
ILMN_2121389	94.11856	0.8428571
ILMN_1715543	99.60573	0.5194805
ILMN_1739594	114.6992	0.1168831
ILMN_2353978	95.24371	0.7727273
ILMN_1785474	149.4583	0.03506494
ILMN_2188959	110.723	0.1662338
ILMN_1716237	141.5841	0.04285714
ILMN_1764321	106.2104	0.2584416
ILMN_2156699	92.13073	0.9233766
ILMN_1784756	113.3039	0.1285714
ILMN_1728883	99.63335	0.5194805
ILMN_1740265	137.0109	0.04415584
ILMN_1788078	96.01188	0.7285714
ILMN_2252621	100.2342	0.4766234
ILMN_2332250	112.502	0.1415584
ILMN_1719178	97.50303	0.6298701
ILMN_1679600	113.3839	0.1285714
ILMN_2367070	163.6811	0.02597403
ILMN_1658995	186.0493	0.01038961
ILMN_1750158	197.2576	0.006493506
ILMN_1668839	110.0694	0.1818182
ILMN_1765767	130.8177	0.05064935
ILMN_1685703	101.2907	0.4337662
ILMN_1743396	126.6013	0.06493507
ILMN_1743680	98.39214	0.5896104
ILMN_1669633	208.587	0.005194805
ILMN_2344956	374.5307	0
ILMN_2104830	148.392	0.03506494
ILMN_2078599	128.6173	0.05584415
ILMN_2234343	103.7905	0.3350649
ILMN_1706598	141.2195	0.04285714
ILMN_2306955	144.4349	0.04025974
ILMN_1758323	136.9099	0.04415584
ILMN_1728331	253.0499	0.002597403
ILMN_2351906	98.99579	0.5571429
ILMN_1705637	174.1771	0.01558442
ILMN_1784203	191.3203	0.007792208
ILMN_1666690	111.546	0.1493506
ILMN_1654468	198.0998	0.006493506
ILMN_2320277	112.4244	0.1415584
ILMN_2227011	111.3905	0.151948
ILMN_1730002	104.3389	0.3181818
ILMN_3236756	112.5732	0.1415584
ILMN_1716832	98.40006	0.5896104
ILMN_1684585	1111.923	0
ILMN_2360705	191.4576	0.007792208
ILMN_1654414	125.3581	0.06883117
ILMN_1666096	116.1136	0.1012987
ILMN_2391458	131.783	0.05064935
ILMN_2285506	108.0984	0.212987
ILMN_1691714	108.4371	0.2077922
ILMN_1683598	313.0883	0
ILMN_2370882	126.4188	0.06493507
ILMN_2273911	95.89464	0.7376623
ILMN_1807914	92.7245	0.9064935
ILMN_1678517	94.75268	0.8090909
ILMN_1705247	298.3813	0
ILMN_1737418	110.8867	0.161039
ILMN_2278242	98.9164	0.561039
ILMN_1730025	99.13605	0.5493507
ILMN_2378555	124.2456	0.07142857
ILMN_1661434	97.33775	0.6402597
ILMN_1809623	94.78682	0.8051948
ILMN_1657592	100.6525	0.4597403
ILMN_1765912	96.67893	0.6857143
ILMN_1746128	98.9914	0.5584416
ILMN_1685952	97.75471	0.612987
ILMN_1662738	100.6862	0.4584416
ILMN_1771084	115.2697	0.1090909
ILMN_1791923	104.3413	0.3181818
ILMN_1801698	92.23835	0.9207792
ILMN_1766966	92.81194	0.9051948
ILMN_2070792	114.89	0.1142857
ILMN_1752269	182.5467	0.01168831
ILMN_1697510	102.0936	0.3883117
ILMN_2254962	107.4013	0.2311688
ILMN_2336595	272.4128	0
ILMN_1714197	308.5505	0
ILMN_1742859	97.911	0.6038961
ILMN_1659885	98.56897	0.5818182
ILMN_2125869	118.668	0.09220779
ILMN_1671703	304.0504	0
ILMN_2152131	11374.66	0
ILMN_1777296	6992.815	0
ILMN_2038777	10220	0
ILMN_3246895	96.70803	0.6831169
ILMN_1658660	92.48687	0.9168831
ILMN_1829919	93.82456	0.864935
ILMN_2053178	7726.472	0
ILMN_1704961	2179.347	0
ILMN_1795325	86.50324	0.9948052
ILMN_1749297	194.3327	0.007792208
ILMN_2328280	145.9819	0.03896104
ILMN_1657855	206.6116	0.005194805
ILMN_1717900	97.57204	0.6272727
ILMN_1796088	99.25894	0.5441558
ILMN_1704078	103.1522	0.3493507
ILMN_2232177	979.413	0
ILMN_1654422	102.8463	0.361039
ILMN_1665691	113.487	0.1285714
ILMN_1725534	351.519	0
ILMN_1798254	249.5997	0.002597403
ILMN_1792314	226.5507	0.003896104
ILMN_1695821	292.3656	0
ILMN_2388605	1565.541	0
ILMN_1657153	371.0166	0
ILMN_2260392	93.7504	0.8675325
ILMN_2346451	101.1018	0.4428571
ILMN_1787513	105.3205	0.2831169
ILMN_1680941	97.486	0.6298701
ILMN_1652594	130.2597	0.05194805
ILMN_1697585	170.3306	0.01688312
ILMN_1689162	106.3397	0.2558441
ILMN_1815392	184.3521	0.01038961
ILMN_3241416	91.83968	0.9350649
ILMN_1760490	183.4062	0.01038961
ILMN_1786544	106.7033	0.2454545
ILMN_1763916	111.6506	0.1480519
ILMN_2243308	147.9631	0.03506494
ILMN_1766723	103.4487	0.3415585
ILMN_1689217	111.0643	0.1584416
ILMN_1670912	101.8502	0.3935065
ILMN_2152711	116.0067	0.1038961
ILMN_1668983	98.55833	0.5831169
ILMN_1824337	97.32578	0.6402597
ILMN_1807493	102.4875	0.3727273
ILMN_3250257	98.46605	0.5883117
ILMN_1683883	115.2669	0.1090909
ILMN_1670193	127.3001	0.06363636
ILMN_2319825	113.6726	0.125974
ILMN_1694233	165.5157	0.02467532
ILMN_1686432	102.0084	0.3896104
