PROBE_ID	7677153062_C.VALUE	7677153062_C.Detection Pval
ILMN_1762337	75.04826	0.4857143
ILMN_2055271	126.5447	0.04025974
ILMN_1736007	78.49667	0.338961
ILMN_2383229	83.80932	0.2233766
ILMN_1806310	70.52917	0.7532467
ILMN_1779670	73.35762	0.5922078
ILMN_1653355	76.64141	0.4
ILMN_1717783	68.5678	0.874026
ILMN_1705025	81.87137	0.2701299
ILMN_1814316	81.91883	0.2701299
ILMN_2359168	83.03167	0.238961
ILMN_1731507	69.88335	0.7974026
ILMN_1787689	71.05537	0.7207792
ILMN_3241953	92.57454	0.1311688
ILMN_1745607	69.09208	0.8389611
ILMN_2136495	70.64881	0.7480519
ILMN_1668111	68.22237	0.9012987
ILMN_2295559	72.15117	0.6571429
ILMN_1735045	86.26263	0.1883117
ILMN_1680754	77.272	0.3818182
ILMN_2375184	73.93371	0.5415584
ILMN_1659452	72.99213	0.6025974
ILMN_1767388	191.6578	0.009090909
ILMN_1675204	76.43623	0.4077922
ILMN_1673870	85.66798	0.1935065
ILMN_1755321	137.9021	0.03376623
ILMN_1698554	84.45621	0.2103896
ILMN_1814092	76.83321	0.4
ILMN_1760414	80.0103	0.3038961
ILMN_2061446	148.6758	0.02727273
ILMN_1676336	106.1089	0.06883117
ILMN_1752884	71.32468	0.7012987
ILMN_1660703	72.43027	0.6454545
ILMN_1668851	67.19217	0.9402598
ILMN_2270015	75.26004	0.4753247
ILMN_1809959	71.25909	0.7090909
ILMN_2357031	71.31741	0.7025974
ILMN_1726986	95.8996	0.112987
ILMN_3237396	171.1295	0.01168831
ILMN_1688755	207.1437	0.006493506
ILMN_1880387	74.34836	0.5233766
ILMN_1689211	78.37304	0.3441558
ILMN_1653165	142.2048	0.03246753
ILMN_1729835	68.17883	0.9025974
ILMN_1662364	383.7754	0
ILMN_1674698	114.8399	0.05064935
ILMN_1700461	123.0841	0.04155844
ILMN_1784269	128.7695	0.04025974
ILMN_1698189	108.2424	0.06363636
ILMN_2096191	129.9343	0.04025974
ILMN_1678323	76.46701	0.4064935
ILMN_2157219	78.31067	0.3454545
ILMN_1703743	308.496	0
ILMN_1687609	102.6528	0.07792208
ILMN_2068874	76.22804	0.4220779
ILMN_1699334	114.4475	0.05064935
ILMN_1670117	70.83924	0.7337663
ILMN_1805104	91.73272	0.1376623
ILMN_2404407	87.30775	0.174026
ILMN_1766054	545.8511	0
ILMN_1753388	77.84888	0.3545454
ILMN_2070570	84.85731	0.2064935
ILMN_2232084	84.27472	0.2142857
ILMN_1750250	74.18803	0.5311688
ILMN_2361400	69.84635	0.8
ILMN_1704579	72.34304	0.648052
ILMN_1687636	88.9378	0.1558442
ILMN_1747627	169.102	0.01298701
ILMN_1758523	82.02319	0.2662338
ILMN_1794965	88.62577	0.1571429
ILMN_1722286	75.64851	0.448052
ILMN_1784176	85.90654	0.1909091
ILMN_1749001	79.0793	0.3168831
ILMN_1701551	73.81834	0.5545455
ILMN_1795507	73.3803	0.5883117
ILMN_1729894	72.50912	0.6415585
ILMN_1743205	220.8685	0.006493506
ILMN_2259319	74.7971	0.4987013
ILMN_2129886	66.84568	0.9493507
ILMN_1796801	168.4916	0.01298701
ILMN_1720501	89.10716	0.1545455
ILMN_1668446	72.57246	0.6337662
ILMN_1812070	120.4888	0.04675325
ILMN_2094875	100.4938	0.08701298
ILMN_1665730	202.8274	0.007792208
ILMN_2232066	77.11334	0.3857143
ILMN_1767349	80.57848	0.2961039
ILMN_1658257	77.56605	0.3662338
ILMN_2193980	133.3653	0.03636364
