PROBE_ID	7677153062_I.VALUE	7677153062_I.Detection Pval
ILMN_1762337	83.33086	0.4532467
ILMN_2055271	171.3118	0.01558442
ILMN_1736007	84.9387	0.3883117
ILMN_2383229	84.82476	0.3948052
ILMN_1806310	79.39729	0.6194805
ILMN_1779670	79.07799	0.6402597
ILMN_1653355	86.32905	0.3337662
ILMN_1717783	72.64468	0.9649351
ILMN_1705025	89.67957	0.2623377
ILMN_1814316	84.63835	0.4
ILMN_2359168	92.95477	0.2246753
ILMN_1731507	76.55714	0.7792208
ILMN_1787689	80.12392	0.5805195
ILMN_3241953	98.15444	0.1701299
ILMN_1745607	73.42065	0.9415584
ILMN_2136495	80.67759	0.5636364
ILMN_1668111	74.41749	0.9025974
ILMN_2295559	74.79837	0.8831169
ILMN_1735045	104.9238	0.1155844
ILMN_1680754	80.28759	0.574026
ILMN_2375184	75.70155	0.8207792
ILMN_1659452	87.49802	0.3064935
ILMN_1767388	202.746	0.009090909
ILMN_1675204	87.93043	0.2896104
ILMN_1673870	95.89952	0.1935065
ILMN_1755321	167.2889	0.01948052
ILMN_1698554	103.7942	0.1246753
ILMN_1814092	88.43498	0.2792208
ILMN_1760414	91.08489	0.2545455
ILMN_2061446	171.649	0.01558442
ILMN_1676336	117.8728	0.06883117
ILMN_1752884	79.17934	0.635065
ILMN_1660703	79.56049	0.6103896
ILMN_1668851	80.12514	0.5805195
ILMN_2270015	80.03878	0.587013
ILMN_1809959	69.53059	0.9974026
ILMN_2357031	74.16422	0.9181818
ILMN_1726986	112.3091	0.08051948
ILMN_3237396	158.3837	0.02467532
ILMN_1688755	274.4423	0.001298701
ILMN_1880387	75.16671	0.8597403
ILMN_1689211	91.73913	0.2428571
ILMN_1653165	141.1562	0.04025974
ILMN_1729835	74.76888	0.8857143
ILMN_1662364	328.1338	0
ILMN_1674698	119.3059	0.06883117
ILMN_1700461	125.1927	0.05974026
ILMN_1784269	123.1283	0.06103896
ILMN_1698189	111.5477	0.08051948
ILMN_2096191	159.9906	0.02467532
ILMN_1678323	79.13097	0.6363636
ILMN_2157219	82.24681	0.4883117
ILMN_1703743	296.2164	0
ILMN_1687609	104.2229	0.1207792
ILMN_2068874	83.41036	0.448052
ILMN_1699334	116.3919	0.07272727
ILMN_1670117	76.45047	0.7857143
ILMN_1805104	92.0752	0.2350649
ILMN_2404407	87.69131	0.2961039
ILMN_1766054	364.2688	0
ILMN_1753388	86.43496	0.3324675
ILMN_2070570	84.45862	0.4051948
ILMN_2232084	95.21707	0.1974026
ILMN_1750250	78.65285	0.6688312
ILMN_2361400	73.80677	0.9272727
ILMN_1704579	79.84373	0.5961039
ILMN_1687636	100.2744	0.1454545
ILMN_1747627	150.683	0.02987013
ILMN_1758523	78.13627	0.6896104
ILMN_1794965	91.59663	0.2454545
ILMN_1722286	82.36525	0.4857143
ILMN_1784176	96.34399	0.1909091
