PROBE_ID	7677153062_K.VALUE	7677153062_K.Detection Pval
ILMN_2367487	99.52396	0.3298701
ILMN_1785285	96.63168	0.438961
ILMN_2073969	99.0864	0.3402597
ILMN_1794213	244.3378	0.001298701
ILMN_2227533	109.2301	0.1545455
ILMN_1769390	139.3514	0.03636364
ILMN_2403446	117.5017	0.09350649
ILMN_1787618	92.67207	0.6948052
ILMN_1723662	130.0363	0.05064935
ILMN_1801767	267.0862	0
ILMN_1700633	178.2903	0.009090909
ILMN_1655702	288.3975	0
ILMN_1706344	112.4164	0.1233766
ILMN_1719498	106.4631	0.1805195
ILMN_1712707	126.2676	0.05844156
ILMN_1699750	211.7507	0.003896104
ILMN_1739081	216.3303	0.003896104
ILMN_2329958	280.6059	0
ILMN_1775944	94.4764	0.5779221
ILMN_1724497	126.6101	0.05844156
ILMN_1720988	100.3474	0.3025974
ILMN_1707274	86.88709	0.9649351
ILMN_1755658	183.4944	0.007792208
ILMN_1673639	94.40205	0.5831169
ILMN_1713732	176.1608	0.009090909
ILMN_1708922	130.941	0.04935065
ILMN_2268241	95.37454	0.5142857
ILMN_1741628	96.62194	0.4402598
ILMN_1657870	110.9752	0.1337662
ILMN_2240003	96.69771	0.4376623
ILMN_1785424	385.4937	0
ILMN_1731610	112.1367	0.1233766
ILMN_1696682	96.40365	0.4571429
ILMN_2396672	178.1245	0.009090909
ILMN_1758825	127.0809	0.05844156
ILMN_1656940	115.2266	0.1025974
ILMN_1656979	119.7631	0.08311688
ILMN_1731433	208.594	0.003896104
ILMN_1672878	509.3044	0
ILMN_1655114	112.0304	0.1246753
ILMN_1657045	94.38106	0.5831169
ILMN_1766991	86.21146	0.9766234
ILMN_1658083	113.7689	0.1103896
ILMN_1802096	1383.139	0
ILMN_2367165	598.1092	0
ILMN_1753370	133.8517	0.04675325
ILMN_1738921	324.4633	0
ILMN_1660199	134.748	0.04545455
ILMN_2331636	139.0425	0.03636364
ILMN_1772123	130.7311	0.05064935
ILMN_1667641	93.94435	0.6090909
ILMN_1763852	112.4188	0.1233766
ILMN_1687303	127.2731	0.05844156
ILMN_1761058	165.9215	0.01818182
ILMN_2225595	173.64	0.01168831
