PROBE_ID	7677153062_F.VALUE	7677153062_F.Detection Pval
ILMN_2367487	81.59044	0.3220779
ILMN_1785285	82.39898	0.3012987
ILMN_2073969	75.22142	0.6571429
ILMN_1794213	206.4038	0.003896104
ILMN_2227533	95.1236	0.1194805
ILMN_1769390	135.9185	0.02987013
ILMN_2403446	100.652	0.08571429
ILMN_1787618	70.27871	0.9350649
ILMN_1723662	121.2633	0.04285714
ILMN_1801767	497.2863	0
ILMN_1700633	166.6105	0.01298701
ILMN_1655702	383.1626	0
ILMN_1706344	102.556	0.08181818
ILMN_1719498	84.00466	0.2649351
ILMN_1712707	128.6644	0.03506494
ILMN_1699750	188.0682	0.009090909
ILMN_1739081	210.9536	0.003896104
ILMN_2329958	398.06	0
ILMN_1775944	87.55792	0.1948052
ILMN_1724497	113.5941	0.04805195
ILMN_1720988	80.41135	0.3701299
ILMN_1707274	69.28834	0.9649351
ILMN_1755658	190.5756	0.007792208
ILMN_1673639	74.6123	0.6805195
ILMN_1713732	172.2126	0.01298701
ILMN_1708922	129.8937	0.03376623
ILMN_2268241	81.00263	0.3337662
ILMN_1741628	82.11102	0.3077922
ILMN_1657870	99.04443	0.0948052
ILMN_2240003	79.54745	0.4090909
ILMN_1785424	544.363	0
ILMN_1731610	117.0702	0.04545455
ILMN_1696682	66.50684	0.9935065
ILMN_2396672	273.6136	0
ILMN_1758825	141.8011	0.02597403
ILMN_1656940	88.62169	0.1766234
ILMN_1656979	107.1146	0.06623377
ILMN_1731433	188.9524	0.009090909
ILMN_1672878	651.842	0
ILMN_1655114	126.8623	0.03506494
ILMN_1657045	76.81544	0.5350649
ILMN_1766991	77.47875	0.4987013
ILMN_1658083	94.7562	0.1233766
ILMN_1802096	1651.93	0
ILMN_2367165	646.9752	0
ILMN_1753370	104.3961	0.07662338
ILMN_1738921	345.4884	0
ILMN_1660199	142.2426	0.02597403
ILMN_2331636	112.8197	0.04935065
ILMN_1772123	119.8877	0.04285714
ILMN_1667641	73.26383	0.7844156
ILMN_1763852	123.7658	0.03896104
ILMN_1687303	117.8176	0.04415584
ILMN_1761058	211.5696	0.003896104
ILMN_2225595	172.4724	0.01298701
ILMN_1724699	78.44971	0.4532467
ILMN_1775579	144.7678	0.02337662
ILMN_1660890	75.59744	0.6207792
ILMN_1778104	171.8132	0.01298701
ILMN_2053679	263.2366	0
ILMN_1795104	218.773	0.001298701
ILMN_1740920	80.57233	0.3623376
ILMN_2263466	115.8692	0.04545455
ILMN_1806408	990.3987	0
ILMN_2352009	215.8092	0.001298701
ILMN_1693148	74.10433	0.7207792
ILMN_1808395	450.0192	0
ILMN_3236270	307.0868	0
ILMN_1743847	80.20762	0.3792208
ILMN_1800008	196.2376	0.006493506
ILMN_2133799	79.28979	0.4181818
ILMN_1708672	157.7306	0.01428571
ILMN_1665945	255.7609	0
ILMN_1676288	94.12687	0.125974
ILMN_1693250	89.5396	0.1714286
ILMN_2295980	91.26198	0.1558442
ILMN_2410362	89.96139	0.1675325
ILMN_1684271	98.67545	0.0948052
ILMN_1726388	78.7194	0.4415585
ILMN_2106002	89.40969	0.1727273
ILMN_1779685	121.6986	0.04155844
ILMN_1665932	86.05562	0.2233766
ILMN_1769694	70.95395	0.9168831
ILMN_1727251	91.64801	0.1532468
ILMN_1734479	92.88055	0.1376623
ILMN_2368728	119.4525	0.04285714
ILMN_2394897	77.42698	0.5012987
