PROBE_ID	7677153062_H.VALUE	7677153062_H.Detection Pval
ILMN_1762337	58.97296	0.5779221
ILMN_2055271	110.2715	0.04415584
ILMN_1736007	62.40662	0.4194805
ILMN_2383229	66.24283	0.2909091
ILMN_1806310	54.99944	0.8051948
ILMN_1779670	57.3098	0.6623377
ILMN_1653355	61.45252	0.4493507
ILMN_1717783	55.7523	0.7454545
ILMN_1705025	57.23428	0.6623377
ILMN_1814316	59.48649	0.5454546
ILMN_2359168	64.75005	0.3519481
ILMN_1731507	55.93242	0.7363636
ILMN_1787689	66.51037	0.2857143
ILMN_3241953	81.96809	0.1012987
ILMN_1745607	56.70412	0.6896104
ILMN_2136495	54.89605	0.8077922
ILMN_1668111	56.05346	0.7298701
ILMN_2295559	67.11868	0.2701299
ILMN_1735045	71.56171	0.1896104
ILMN_1680754	85.1575	0.08701298
ILMN_2375184	55.10813	0.7948052
ILMN_1659452	70.16145	0.2025974
ILMN_1767388	157.5715	0.01298701
ILMN_1675204	63.95044	0.3662338
ILMN_1673870	70.11195	0.2025974
ILMN_1755321	131.946	0.02077922
ILMN_1698554	75.4654	0.1441558
ILMN_1814092	80.00507	0.1077922
ILMN_1760414	61.43938	0.4493507
ILMN_2061446	175.3507	0.01168831
ILMN_1676336	123.9658	0.02987013
ILMN_1752884	55.96529	0.7337663
ILMN_1660703	57.60979	0.6454545
ILMN_1668851	58.68327	0.5948052
ILMN_2270015	58.34058	0.6116883
ILMN_1809959	51.87587	0.9597403
ILMN_2357031	53.26277	0.8961039
ILMN_1726986	103.7731	0.05064935
ILMN_3237396	174.9978	0.01168831
ILMN_1688755	215.44	0.006493506
ILMN_1880387	57.89155	0.6337662
ILMN_1689211	57.91577	0.6337662
ILMN_1653165	108.5286	0.04545455
ILMN_1729835	58.99869	0.5779221
ILMN_1662364	207.0652	0.006493506
ILMN_1674698	86.20483	0.08181818
ILMN_1700461	77.82855	0.1272727
ILMN_1784269	106.4803	0.04545455
ILMN_1698189	83.56288	0.0948052
ILMN_2096191	163.1302	0.01298701
ILMN_1678323	57.3349	0.6610389
ILMN_2157219	61.16283	0.4610389
ILMN_1703743	290.7065	0.001298701
ILMN_1687609	99.36522	0.05714286
ILMN_2068874	64.01488	0.3649351
ILMN_1699334	107.0968	0.04545455
ILMN_1670117	57.38501	0.6584415
ILMN_1805104	108.3095	0.04545455
ILMN_2404407	142.9748	0.01428571
ILMN_1766054	669.0159	0
ILMN_1753388	57.98031	0.6337662
ILMN_2070570	63.74909	0.374026
ILMN_2232084	68.52836	0.2337662
ILMN_1750250	56.28888	0.7142857
ILMN_2361400	57.47569	0.6532468
ILMN_1704579	73.55798	0.161039
ILMN_1687636	72.83261	0.1701299
ILMN_1747627	289.0389	0.001298701
ILMN_1758523	68.57632	0.2337662
ILMN_1794965	71.7286	0.187013
ILMN_1722286	50.86917	0.9831169
ILMN_1784176	70.24859	0.2025974
ILMN_1749001	63.89137	0.3701299
ILMN_1701551	56.18309	0.7220779
ILMN_1795507	59.86994	0.5233766
ILMN_1729894	67.18656	0.2688312
ILMN_1743205	392.9091	0
ILMN_2259319	64.33744	0.3584416
ILMN_2129886	52.96218	0.9155844
ILMN_1796801	144.419	0.01428571
ILMN_1720501	63.79086	0.3714286
ILMN_1668446	60.34875	0.4974026
ILMN_1812070	91.80532	0.06883117
ILMN_2094875	113.5159	0.04155844
ILMN_1665730	171.6932	0.01168831
ILMN_2232066	63.58707	0.3766234
ILMN_1767349	77.06645	0.1324675
ILMN_1658257	66.66129	0.2792208
ILMN_2193980	110.4358	0.04285714
ILMN_1687840	140.8344	0.01428571
ILMN_2102422	59.96861	0.5181818
ILMN_1788928	64.52251	0.3584416
ILMN_2343047	74.39638	0.1532468
ILMN_2343048	77.48736	0.1285714
ILMN_2335302	59.99683	0.5181818
ILMN_1802404	83.28262	0.0948052
ILMN_1776119	98.96989	0.05714286
ILMN_2358714	59.88186	0.5220779
ILMN_1732140	98.53967	0.05714286
ILMN_1713008	53.99904	0.8558441
ILMN_1762093	67.35656	0.2636364
ILMN_1709092	80.44162	0.1077922
ILMN_1678409	58.8627	0.5844156
ILMN_1774344	53.98655	0.8584415
ILMN_1676278	81.00437	0.1051948
ILMN_1717466	68.94783	0.2246753
ILMN_1677814	167.09	0.01298701
ILMN_1788457	146.3622	0.01428571
ILMN_2194009	148.3841	0.01428571
ILMN_2302358	53.1237	0.9025974
ILMN_1706531	183.441	0.01038961
ILMN_1651964	151.1788	0.01428571
ILMN_1725675	62.33089	0.4194805
ILMN_1778352	60.02673	0.5168831
ILMN_1725414	73.57655	0.161039
