PROBE_ID	7677153059_I.VALUE	7677153059_I.Detection Pval
ILMN_2367487	77.32562	0.4805195
ILMN_1785285	80.969	0.3675325
ILMN_2073969	87.55431	0.2285714
ILMN_1794213	234.6727	0.003896104
ILMN_2227533	88.7335	0.2103896
ILMN_1769390	125.7857	0.04285714
ILMN_2403446	115.6358	0.05324675
ILMN_1787618	70.67338	0.8688312
ILMN_1723662	122.6549	0.04805195
ILMN_1801767	450.4952	0
ILMN_1700633	188.4005	0.007792208
ILMN_1655702	489.6324	0
ILMN_1706344	118.1318	0.05064935
ILMN_1719498	88.29511	0.2181818
ILMN_1712707	132.0716	0.03896104
ILMN_1699750	224.713	0.003896104
ILMN_1739081	226.8061	0.003896104
ILMN_2329958	506.1969	0
ILMN_1775944	72.8609	0.7441558
ILMN_1724497	112.4817	0.06233766
ILMN_1720988	82.66399	0.3207792
ILMN_1707274	71.44451	0.8363636
ILMN_1755658	195.1422	0.007792208
ILMN_1673639	76.43864	0.5298702
ILMN_1713732	184.6035	0.009090909
ILMN_1708922	132.2061	0.03766234
ILMN_2268241	89.9424	0.1987013
ILMN_1741628	84.05303	0.2779221
ILMN_1657870	106.7102	0.08571429
ILMN_2240003	75.77026	0.5675325
ILMN_1785424	409.5831	0
ILMN_1731610	109.9237	0.07142857
ILMN_1696682	74.53858	0.6311688
ILMN_2396672	208.0147	0.005194805
ILMN_1758825	109.8233	0.07142857
ILMN_1656940	96.42719	0.1454545
ILMN_1656979	116.7459	0.05194805
ILMN_1731433	204.9449	0.005194805
ILMN_1672878	657.124	0
ILMN_1655114	120.0811	0.04935065
ILMN_1657045	78.59344	0.4402598
ILMN_1766991	76.02297	0.5519481
ILMN_1658083	94.61852	0.1623377
ILMN_1802096	1638.924	0
ILMN_2367165	761.408	0
ILMN_1753370	116.0483	0.05324675
ILMN_1738921	368.5403	0
ILMN_1660199	177.3964	0.009090909
ILMN_2331636	117.4343	0.05064935
ILMN_1772123	112.7068	0.06103896
ILMN_1667641	72.70771	0.7493507
ILMN_1763852	114.1903	0.05584415
ILMN_1687303	120.2949	0.04935065
ILMN_1761058	185.5527	0.009090909
ILMN_2225595	194.4425	0.007792208
ILMN_1724699	83.00903	0.3103896
ILMN_1775579	127.8093	0.04155844
ILMN_1660890	75.31578	0.5831169
ILMN_1778104	179.7179	0.009090909
ILMN_2053679	286.9576	0
ILMN_1795104	219.6251	0.005194805
ILMN_1740920	81.94503	0.3415585
ILMN_2263466	121.9691	0.04935065
ILMN_1806408	1128.089	0
ILMN_2352009	197.9211	0.007792208
ILMN_1693148	73.98232	0.6688312
ILMN_1808395	343.7698	0
ILMN_3236270	361.1393	0
ILMN_1743847	79.65827	0.4077922
ILMN_1800008	191.9131	0.007792208
ILMN_2133799	81.71464	0.3467532
ILMN_1708672	168.019	0.01688312
ILMN_1665945	253.6172	0.001298701
ILMN_1676288	88.98142	0.2064935
ILMN_1693250	94.04879	0.1649351
ILMN_2295980	96.93018	0.1441558
ILMN_2410362	93.22411	0.1727273
ILMN_1684271	98.79039	0.1246753
ILMN_1726388	69.84397	0.9116883
ILMN_2106002	94.62198	0.161039
ILMN_1779685	110.2617	0.07012987
ILMN_1665932	85.69793	0.2597403
ILMN_1769694	71.42993	0.8363636
ILMN_1727251	99.80847	0.1168831
ILMN_1734479	88.68998	0.2116883
ILMN_2368728	124.9854	0.04545455
ILMN_2394897	73.52715	0.6935065
ILMN_2394902	80.45671	0.3844156
ILMN_2287535	95.92458	0.1493506
ILMN_1750295	98.72388	0.125974
ILMN_3187680	313.2786	0
ILMN_3242266	92.92767	0.174026
ILMN_1780630	133.5518	0.03766234
ILMN_1716480	145.1403	0.02857143
ILMN_1715192	85.38504	0.2623377
ILMN_2339410	77.87283	0.4636364
ILMN_1779984	72.56029	0.7584416
ILMN_1667018	94.1842	0.1649351
ILMN_1773243	70.86868	0.8545455
ILMN_3241214	112.28	0.06363636
ILMN_3235340	99.80594	0.1168831
ILMN_1761000	83.14845	0.3077922
ILMN_3237774	115.1159	0.05584415
ILMN_2333219	69.9015	0.9077922
ILMN_1780485	112.7921	0.06103896
ILMN_1735471	177.3736	0.009090909
ILMN_1699636	378.9156	0
ILMN_2371379	395.7881	0
ILMN_1749014	202.6468	0.006493506
ILMN_1727091	82.16666	0.3337662
ILMN_1771348	122.3617	0.04805195
ILMN_2134039	4388.027	0
ILMN_1750800	194.1507	0.007792208
