PROBE_ID	7677153059_H.VALUE	7677153059_H.Detection Pval
ILMN_1698311	80.23721	0.3935065
ILMN_2367487	81.09509	0.3688312
ILMN_1785285	78.85865	0.451948
ILMN_2073969	80.17533	0.3987013
ILMN_1794213	211.9638	0.005194805
ILMN_2227533	90.36306	0.1818182
ILMN_1769390	98.57885	0.1142857
ILMN_2403446	118.9828	0.04805195
ILMN_1787618	75.73342	0.6064935
ILMN_1723662	123.8206	0.04545455
ILMN_1801767	479.8869	0
ILMN_1700633	189.3913	0.005194805
ILMN_1655702	529.9125	0
ILMN_1706344	98.77177	0.1116883
ILMN_1719498	80.27676	0.3935065
ILMN_1712707	133.4041	0.03506494
ILMN_1699750	193.0676	0.005194805
ILMN_1739081	215.0002	0.005194805
ILMN_2329958	452.916	0
ILMN_1775944	75.78255	0.6051948
ILMN_1724497	115.3453	0.05454545
ILMN_1720988	82.40578	0.3233766
ILMN_1707274	70.10074	0.9415584
ILMN_1755658	155.6816	0.01688312
ILMN_1673639	75.8061	0.6051948
ILMN_1713732	179.4765	0.01038961
ILMN_1708922	129.5216	0.03766234
ILMN_2268241	81.95999	0.3337662
ILMN_1741628	79.0119	0.4454545
ILMN_1657870	106.5867	0.08311688
ILMN_2240003	84.24414	0.2766234
ILMN_1785424	282.4717	0
ILMN_1731610	91.51427	0.1714286
ILMN_1696682	82.16438	0.3337662
ILMN_2396672	161.3324	0.01428571
ILMN_1758825	119.7246	0.04805195
ILMN_1656940	102.9438	0.08831169
ILMN_1656979	109.8988	0.06883117
ILMN_1731433	231.6131	0.002597403
ILMN_1672878	762.9239	0
ILMN_1655114	117.4822	0.04805195
ILMN_1657045	76.55537	0.5688311
ILMN_1766991	77.75257	0.5077922
ILMN_1658083	90.73013	0.1792208
ILMN_1802096	1776.993	0
ILMN_2367165	1045.145	0
ILMN_1753370	119.1184	0.04805195
ILMN_1738921	475.8155	0
ILMN_1660199	130.074	0.03766234
ILMN_2331636	111.9105	0.06233766
ILMN_1772123	106.7892	0.08311688
ILMN_1667641	63.98796	1
ILMN_1763852	98.25919	0.1181818
ILMN_1687303	99.26062	0.1103896
ILMN_1761058	160.4666	0.01428571
ILMN_2225595	214.4269	0.005194805
ILMN_1724699	82.85419	0.3142857
ILMN_1775579	111.1207	0.06363636
ILMN_1660890	77.99261	0.4922078
ILMN_1778104	137.8214	0.03116883
ILMN_2053679	197.2798	0.005194805
ILMN_1795104	213.3363	0.005194805
ILMN_1740920	94.92648	0.1376623
ILMN_2263466	125.6407	0.04415584
ILMN_1806408	1351.918	0
ILMN_2352009	286.7588	0
ILMN_1693148	73.17274	0.7649351
ILMN_1808395	587.181	0
ILMN_3236270	435.7987	0
ILMN_1743847	86.12144	0.2415584
ILMN_1800008	160.7657	0.01428571
ILMN_2133799	79.91946	0.4077922
ILMN_1708672	134.569	0.03506494
ILMN_1665945	230.5801	0.002597403
ILMN_1676288	85.50909	0.2558441
ILMN_1693250	86.57097	0.2324675
ILMN_2295980	91.59479	0.1714286
ILMN_2410362	94.05405	0.1467533
ILMN_1684271	95.09122	0.1363636
ILMN_1726388	70.78143	0.9168831
ILMN_2106002	91.97334	0.1688312
ILMN_1779685	120.5451	0.04805195
ILMN_1665932	87.0463	0.2246753
ILMN_1769694	79.56	0.4207792
ILMN_1727251	94.34506	0.1467533
ILMN_1734479	88.20402	0.2077922
ILMN_2368728	119.3847	0.04805195
ILMN_2394897	78.33794	0.4805195
ILMN_2394902	87.61569	0.2142857
ILMN_2287535	89.72729	0.1922078
ILMN_1750295	100.3052	0.1012987
ILMN_3187680	128.0256	0.03896104
ILMN_3242266	92.40079	0.1649351
ILMN_1780630	128.2346	0.03896104
ILMN_1716480	137.5822	0.03246753
ILMN_1715192	87.51895	0.2142857
ILMN_2339410	69.45578	0.9571428
ILMN_1779984	76.49611	0.5714286
ILMN_1667018	93.29829	0.1532468
ILMN_1773243	71.61977	0.8805195
ILMN_3241214	106.1777	0.08441558
ILMN_3235340	98.9145	0.1116883
ILMN_1761000	88.34786	0.2064935
ILMN_3237774	158.2331	0.01558442
ILMN_2333219	70.98602	0.9103896
ILMN_1780485	104.4433	0.08571429
ILMN_1735471	164.9295	0.01298701
ILMN_1699636	366.9829	0
ILMN_2371379	367.5233	0
ILMN_1749014	252.9707	0.001298701
ILMN_1727091	76.44865	0.574026
ILMN_1771348	155.1076	0.01688312
ILMN_2134039	4285.977	0
ILMN_1750800	169.969	0.01038961
ILMN_1654861	121.112	0.04805195
ILMN_2121389	72.86295	0.7857143
ILMN_1715543	76.13844	0.5948052
ILMN_1739594	84.79477	0.2688312
ILMN_2353978	70.46117	0.9298701
ILMN_1785474	135.3959	0.03376623
ILMN_2188959	97.04492	0.125974
ILMN_1716237	123.084	0.04545455
ILMN_1764321	81.18125	0.3649351
ILMN_2156699	71.10446	0.9064935
ILMN_1784756	88.24459	0.2077922
ILMN_1728883	74.88139	0.6545454
ILMN_1740265	118.0827	0.04805195
ILMN_1788078	80.67005	0.3766234
ILMN_2252621	78.27227	0.4831169
ILMN_2332250	83.92135	0.2883117
ILMN_1719178	79.51482	0.4246753
ILMN_1679600	96.29447	0.1298701
ILMN_2367070	157.9406	0.01558442
ILMN_1658995	226.5556	0.002597403
ILMN_1750158	352.3398	0
ILMN_1668839	97.46062	0.1246753
ILMN_1765767	128.4038	0.03896104
ILMN_1685703	78.38417	0.4766234
ILMN_1743396	103.3034	0.08831169
ILMN_1743680	72.4929	0.8155844
ILMN_1669633	210.6717	0.005194805
ILMN_2344956	505.3146	0
ILMN_2104830	108.4202	0.07662338
ILMN_2078599	110.1057	0.06883117
ILMN_2234343	90.81718	0.1779221
ILMN_1706598	117.7203	0.04805195
ILMN_2306955	118.2484	0.04805195
ILMN_1758323	175.6393	0.01038961
ILMN_1728331	265.4796	0
ILMN_2351906	80.73463	0.374026
ILMN_1705637	160.0721	0.01428571
ILMN_1784203	161.6151	0.01428571
ILMN_1666690	107.6654	0.07792208
ILMN_1654468	191.806	0.005194805
ILMN_2320277	99.70618	0.1090909
ILMN_2227011	103.4904	0.08831169
ILMN_1730002	90.97061	0.1766234
ILMN_3236756	85.68304	0.2532468
ILMN_1716832	80.6526	0.3766234
ILMN_1684585	3039.301	0
ILMN_2360705	309.5181	0
ILMN_1654414	111.8421	0.06233766
ILMN_1666096	114.2582	0.05454545
ILMN_2391458	132.6712	0.03506494
ILMN_2285506	92.2924	0.1675325
ILMN_1691714	86.82476	0.2272727
ILMN_1683598	680.9822	0
ILMN_2370882	123.4034	0.04545455
ILMN_2273911	73.88134	0.7090909
ILMN_1807914	76.37168	0.5805195
ILMN_1678517	76.54737	0.5688311
ILMN_1705247	316.9441	0
ILMN_1737418	88.61574	0.2025974
ILMN_2278242	72.01338	0.8636364
ILMN_1730025	76.94611	0.5467532
ILMN_2378555	114.0402	0.05584415
ILMN_1661434	74.61862	0.6636364
ILMN_1809623	78.88015	0.451948
ILMN_1657592	72.28815	0.8389611
ILMN_1765912	75.50514	0.6220779
ILMN_1746128	74.13711	0.6909091
ILMN_1685952	76.43348	0.5766234
ILMN_1662738	74.58411	0.6662338
ILMN_1771084	80.79364	0.3727273
ILMN_1791923	74.077	0.6948052
ILMN_1801698	74.361	0.6792208
ILMN_1766966	80.8988	0.3714286
ILMN_2070792	96.22603	0.1298701
ILMN_1752269	139.2526	0.02987013
ILMN_1697510	94.12745	0.1467533
ILMN_2254962	86.02291	0.2428571
ILMN_2336595	446.7702	0
ILMN_1714197	454.3229	0
ILMN_1742859	79.74765	0.4155844
ILMN_1659885	80.54496	0.3818182
ILMN_2125869	108.7323	0.07532468
ILMN_1671703	390.8695	0
ILMN_2152131	9523.409	0
ILMN_1777296	8496.09	0
ILMN_2038777	10053.29	0
ILMN_3246895	78.32642	0.4805195
ILMN_1658660	77.07124	0.5402597
ILMN_1829919	73.75459	0.7194805
ILMN_2053178	7879.315	0
ILMN_1704961	2982.877	0
ILMN_1795325	72.42395	0.8220779
ILMN_1749297	160.5994	0.01428571
ILMN_2328280	127.5762	0.03896104
ILMN_1657855	196.6777	0.005194805
ILMN_1717900	74.47782	0.6714286
ILMN_1796088	80.03977	0.4051948
ILMN_1704078	74.01938	0.6974026
ILMN_2232177	1714.241	0
ILMN_1654422	72.89056	0.7831169
ILMN_1665691	92.93949	0.1571429
ILMN_1725534	314.8261	0
ILMN_1798254	281.5247	0
ILMN_1792314	242.3915	0.001298701
ILMN_1695821	326.5702	0
ILMN_2388605	2666.408	0
ILMN_1657153	585.7082	0
ILMN_2260392	77.18029	0.5363637
ILMN_2346451	71.37437	0.8935065
ILMN_1787513	85.23263	0.261039
ILMN_1680941	87.38787	0.2155844
ILMN_1652594	118.9079	0.04805195
ILMN_1697585	161.299	0.01428571
ILMN_1689162	89.38137	0.1948052
ILMN_1815392	220.0259	0.002597403
ILMN_3241416	69.07997	0.9727273
ILMN_1760490	213.981	0.005194805
ILMN_1786544	83.63258	0.2974026
ILMN_1763916	99.93192	0.1038961
ILMN_2243308	181.8996	0.01038961
ILMN_1766723	76.43568	0.5766234
ILMN_1689217	79.27867	0.4337662
ILMN_1670912	80.41104	0.3909091
ILMN_2152711	85.53308	0.2558441
ILMN_1668983	78.3362	0.4805195
ILMN_1824337	75.80887	0.6051948
ILMN_1807493	72.31982	0.8363636
ILMN_3250257	75.45868	0.6233766
ILMN_1683883	83.62929	0.2974026
ILMN_1670193	109.645	0.07012987
ILMN_2319825	104.7479	0.08571429
ILMN_1694233	146.7039	0.02337662
ILMN_1686432	76.7151	0.561039
ILMN_1697550	180.1496	0.01038961
ILMN_2158705	102.7477	0.08831169
ILMN_1803686	170.324	0.01038961
ILMN_1745580	70.72806	0.9207792
ILMN_1745108	80.35889	0.3922078
ILMN_1725043	92.04402	0.1675325
ILMN_2148360	132.423	0.03506494
ILMN_1718946	337.4558	0
ILMN_1711374	83.60216	0.2987013
ILMN_1726266	74.71108	0.6584415
ILMN_1705689	81.4409	0.3532467
ILMN_1785393	79.30862	0.4337662
ILMN_2384544	143.366	0.02857143
ILMN_1756920	508.536	0
ILMN_1799728	107.8927	0.07662338
ILMN_1751500	94.5662	0.1415584
ILMN_2121068	495.7571	0
ILMN_1765779	115.7669	0.05324675
ILMN_2201386	74.44473	0.6727273
ILMN_1682225	72.38335	0.8298701
ILMN_1788481	90.90596	0.1766234
ILMN_1713751	717.5818	0
ILMN_1662675	79.70499	0.4181818
ILMN_1737629	72.76149	0.7935065
ILMN_1812112	78.69345	0.4610389
ILMN_3241313	77.67699	0.5142857
ILMN_1675210	70.86568	0.9155844
ILMN_1706302	73.49999	0.7467533
ILMN_2351754	72.01154	0.8636364
ILMN_2060086	75.59888	0.6155844
ILMN_1664236	78.03757	0.4896104
ILMN_1664631	90.25554	0.1844156
ILMN_1802100	80.29377	0.3935065
ILMN_2194158	80.87347	0.3727273
ILMN_2100871	75.10741	0.6467533
ILMN_1806841	111.172	0.06363636
ILMN_1798045	74.49496	0.6714286
ILMN_2293012	72.52303	0.812987
ILMN_1703383	104.6726	0.08571429
ILMN_1651657	86.88905	0.225974
ILMN_1671297	115.4601	0.05454545
ILMN_1669486	71.39138	0.8935065
ILMN_1795204	83.28786	0.3038961
ILMN_2223911	72.49817	0.8155844
ILMN_1685531	72.35069	0.8311688
ILMN_1764554	76.69828	0.561039
ILMN_2302214	75.85161	0.6051948
ILMN_1783312	71.12699	0.9064935
ILMN_2143210	71.84721	0.8714285
ILMN_1750294	75.69248	0.6090909
ILMN_1708348	1305.826	0
ILMN_1727524	177.0396	0.01038961
ILMN_1716909	71.22353	0.9025974
ILMN_2103107	113.8246	0.05584415
ILMN_1673566	74.73341	0.6584415
ILMN_1751168	79.3179	0.4337662
ILMN_1660970	75.59333	0.6155844
ILMN_1787386	71.2274	0.9025974
ILMN_2286570	79.15943	0.4402598
ILMN_2413732	80.40999	0.3909091
ILMN_1873412	90.13489	0.187013
ILMN_1676452	79.93993	0.4077922
ILMN_2358134	84.54847	0.2714286
