PROBE_ID	7677153059_C.VALUE	7677153059_C.Detection Pval
ILMN_2367487	84.1437	0.5766234
ILMN_1785285	85.01585	0.5103896
ILMN_2073969	86.88041	0.4168831
ILMN_1794213	192.9421	0.007792208
ILMN_2227533	105.6891	0.08831169
ILMN_1769390	121.8795	0.05064935
ILMN_2403446	107.058	0.08441558
ILMN_1787618	89.3127	0.312987
ILMN_1723662	125.3935	0.04675325
ILMN_1801767	299.3217	0
ILMN_1700633	180.7085	0.009090909
ILMN_1655702	388.9334	0
ILMN_1706344	106.4856	0.08571429
ILMN_1719498	89.28874	0.312987
ILMN_1712707	120.8982	0.05194805
ILMN_1699750	176.4918	0.009090909
ILMN_1739081	171.072	0.01168831
ILMN_2329958	387.2155	0
ILMN_1775944	82.76119	0.6792208
ILMN_1724497	113.2376	0.06233766
ILMN_1720988	92.90714	0.2233766
ILMN_1707274	78.83538	0.9038961
ILMN_1755658	164.9259	0.01298701
ILMN_1673639	86.84731	0.4181818
ILMN_1713732	178.2656	0.009090909
ILMN_1708922	122.663	0.04935065
ILMN_2268241	98.14319	0.1441558
ILMN_1741628	90.20975	0.287013
ILMN_1657870	106.901	0.08571429
ILMN_2240003	89.75182	0.3025974
ILMN_1785424	481.9661	0
ILMN_1731610	112.9582	0.06233766
ILMN_1696682	84.26898	0.5636364
ILMN_2396672	220.2067	0.005194805
ILMN_1758825	138.2572	0.03506494
ILMN_1656940	104.7295	0.09350649
ILMN_1656979	108.2382	0.08181818
ILMN_1731433	218.2975	0.005194805
ILMN_1672878	669.6671	0
ILMN_1655114	103.0759	0.1
ILMN_1657045	85.31296	0.4883117
ILMN_1766991	78.6274	0.912987
ILMN_1658083	100.6812	0.1142857
ILMN_1802096	1279.381	0
ILMN_2367165	692.4592	0
ILMN_1753370	119.4388	0.05324675
ILMN_1738921	379.3964	0
ILMN_1660199	140.9678	0.03376623
ILMN_2331636	120.3399	0.05194805
ILMN_1772123	115.7713	0.05714286
ILMN_1667641	74.41568	0.9935065
ILMN_1763852	119.9699	0.05324675
ILMN_1687303	118.5096	0.05454545
ILMN_1761058	175.5428	0.009090909
ILMN_2225595	177.6076	0.009090909
ILMN_1724699	83.85229	0.5935065
ILMN_1775579	138.9751	0.03506494
ILMN_1660890	81.52052	0.7454545
ILMN_1778104	195.3625	0.006493506
ILMN_2053679	263.451	0.001298701
ILMN_1795104	192.0285	0.007792208
ILMN_1740920	94.66407	0.1896104
ILMN_2263466	119.1231	0.05324675
ILMN_1806408	1098.366	0
ILMN_2352009	286.4339	0
ILMN_1693148	77.61795	0.9480519
ILMN_1808395	402.1337	0
ILMN_3236270	326.1818	0
ILMN_1743847	90.88631	0.2714286
ILMN_1800008	170.5352	0.01168831
ILMN_2133799	95.76366	0.1714286
ILMN_1708672	146.1133	0.02987013
ILMN_1665945	259.0503	0.001298701
ILMN_1676288	99.57464	0.1233766
ILMN_1693250	90.3482	0.2805195
ILMN_2295980	96.55418	0.1636364
ILMN_2410362	100.1322	0.1194805
ILMN_1684271	102.8293	0.1
ILMN_1726388	77.39117	0.9532468
ILMN_2106002	97.35649	0.161039
ILMN_1779685	110.1242	0.07142857
ILMN_1665932	91.3176	0.2584416
ILMN_1769694	83.6432	0.6
ILMN_1727251	94.02706	0.1987013
ILMN_1734479	93.31635	0.2077922
ILMN_2368728	122.1179	0.05064935
ILMN_2394897	86.56744	0.4337662
ILMN_2394902	92.6885	0.225974
ILMN_2287535	94.4323	0.1948052
ILMN_1750295	100.407	0.1181818
ILMN_3187680	147.0096	0.02987013
ILMN_3242266	89.25948	0.312987
ILMN_1780630	125.0456	0.04805195
ILMN_1716480	163.8073	0.01298701
ILMN_1715192	94.27747	0.1948052
ILMN_2339410	79.80399	0.8506494
ILMN_1779984	82.24297	0.7012987
ILMN_1667018	99.63947	0.1233766
ILMN_1773243	83.67427	0.6
ILMN_3241214	106.7831	0.08571429
ILMN_3235340	98.15008	0.1441558
ILMN_1761000	88.98607	0.3220779
ILMN_3237774	145.1661	0.02987013
ILMN_2333219	79.70982	0.861039
ILMN_1780485	108.4519	0.08181818
ILMN_1735471	169.5781	0.01168831
ILMN_1699636	343.5552	0
ILMN_2371379	384.9601	0
ILMN_1749014	219.2457	0.005194805
ILMN_1727091	84.27079	0.5623376
ILMN_1771348	113.4421	0.06103896
ILMN_2134039	5233.244	0
ILMN_1750800	186.7343	0.009090909
ILMN_1654861	156.1641	0.01948052
ILMN_2121389	84.32654	0.5571429
ILMN_1715543	84.52502	0.5402597
ILMN_1739594	93.98052	0.1987013
ILMN_2353978	86.35013	0.4376623
ILMN_1785474	137.5492	0.03506494
ILMN_2188959	90.76105	0.2727273
ILMN_1716237	122.6493	0.04935065
ILMN_1764321	92.12624	0.2376623
ILMN_2156699	86.31335	0.4415585
ILMN_1784756	92.58371	0.225974
ILMN_1728883	86.55338	0.4337662
ILMN_1740265	123.3273	0.04935065
ILMN_1788078	86.63477	0.4311688
ILMN_2252621	86.74635	0.4272727
ILMN_2332250	95.60699	0.1727273
ILMN_1719178	83.20811	0.6402597
ILMN_1679600	100.5718	0.1142857
ILMN_2367070	171.9329	0.01038961
ILMN_1658995	176.2226	0.009090909
ILMN_1750158	349.7632	0
ILMN_1668839	98.8028	0.138961
ILMN_1765767	112.933	0.06233766
ILMN_1685703	80.63462	0.8064935
ILMN_1743396	115.9821	0.05584415
ILMN_1743680	80.27189	0.8220779
ILMN_1669633	252.9359	0.001298701
ILMN_2344956	490.3549	0
ILMN_2104830	140.9904	0.03376623
ILMN_2078599	145.5896	0.02987013
ILMN_2234343	97.68636	0.151948
ILMN_1706598	122.1417	0.05064935
ILMN_2306955	122.2095	0.04935065
ILMN_1758323	191.9723	0.007792208
ILMN_1728331	220.7915	0.005194805
ILMN_2351906	85.80695	0.4623377
ILMN_1705637	152.1811	0.02207792
ILMN_1784203	202.94	0.005194805
ILMN_1666690	106.9082	0.08571429
ILMN_1654468	180.3647	0.009090909
ILMN_2320277	102.5494	0.1
ILMN_2227011	92.32006	0.2298701
ILMN_1730002	94.8639	0.187013
ILMN_3236756	107.9245	0.08181818
ILMN_1716832	86.19738	0.4428571
