PROBE_ID	7677153062_D.VALUE	7677153062_D.Detection Pval
ILMN_1762337	80.23	0.5402597
ILMN_2055271	130.2798	0.03246753
ILMN_1736007	87.08408	0.2441558
ILMN_2383229	83.98777	0.3311688
ILMN_1806310	81.69862	0.4402598
ILMN_1779670	79.56547	0.5896104
ILMN_1653355	92.34806	0.1545455
ILMN_1717783	78.13255	0.6935065
ILMN_1705025	83.92411	0.3337662
ILMN_1814316	84.96684	0.3
ILMN_2359168	85.28953	0.2883117
ILMN_1731507	70.03009	0.9961039
ILMN_1787689	79.02773	0.635065
ILMN_3241953	102.3848	0.08181818
ILMN_1745607	78.10974	0.6961039
ILMN_2136495	77.41705	0.7415584
ILMN_1668111	76.24618	0.8376623
ILMN_2295559	74.7578	0.9142857
ILMN_1735045	89.78563	0.1974026
ILMN_1680754	87.95576	0.225974
ILMN_2375184	76.9632	0.7857143
ILMN_1659452	87.83627	0.2272727
ILMN_1767388	148.0976	0.02207792
ILMN_1675204	84.34711	0.3207792
ILMN_1673870	86.75729	0.2493507
ILMN_1755321	135.4085	0.02597403
ILMN_1698554	85.98165	0.2662338
ILMN_1814092	83.13004	0.3727273
ILMN_1760414	82.63564	0.3974026
ILMN_2061446	151.2264	0.01558442
ILMN_1676336	119.9452	0.04545455
ILMN_1752884	77.89021	0.7103896
ILMN_1660703	83.08795	0.374026
ILMN_1668851	76.60516	0.8155844
ILMN_2270015	73.56231	0.9480519
ILMN_1809959	73.05871	0.9623377
ILMN_2357031	75.45428	0.8896104
ILMN_1726986	103.4402	0.07922078
ILMN_3237396	141.8865	0.02337662
ILMN_1688755	226.3621	0.001298701
ILMN_1880387	77.79511	0.7220779
ILMN_1689211	80.88834	0.4896104
ILMN_1653165	128.1729	0.03506494
ILMN_1729835	74.47632	0.9207792
ILMN_1662364	254.5446	0.001298701
ILMN_1674698	104.2646	0.07402597
ILMN_1700461	102.2908	0.08181818
ILMN_1784269	110.784	0.05584415
ILMN_1698189	123.1402	0.03766234
ILMN_2096191	138.7457	0.02467532
ILMN_1678323	79.3254	0.6077922
ILMN_2157219	80.6926	0.5077922
ILMN_1703743	265.9389	0.001298701
ILMN_1687609	108.2179	0.06363636
ILMN_2068874	79.97581	0.5519481
ILMN_1699334	113.5986	0.04935065
ILMN_1670117	85.04778	0.2961039
ILMN_1805104	98.68923	0.1
ILMN_2404407	91.84249	0.1597403
ILMN_1766054	1180.397	0
ILMN_1753388	81.06399	0.4818182
ILMN_2070570	82.30663	0.4090909
ILMN_2232084	89.05858	0.2051948
ILMN_1750250	82.7417	0.3883117
ILMN_2361400	78.00316	0.7051948
ILMN_1704579	80.2925	0.5350649
ILMN_1687636	102.2425	0.08311688
ILMN_1747627	118.4096	0.04805195
ILMN_1758523	82.18597	0.4194805
ILMN_1794965	86.93954	0.2454545
ILMN_1722286	77.73302	0.7220779
ILMN_1784176	100.3285	0.08961039
ILMN_1749001	87.12051	0.2441558
ILMN_1701551	80.95264	0.4883117
ILMN_1795507	78.18839	0.6922078
ILMN_1729894	82.87041	0.3805195
ILMN_1743205	325.6607	0
ILMN_2259319	80.63394	0.5116883
ILMN_2129886	80.80871	0.4935065
ILMN_1796801	142.5525	0.02337662
ILMN_1720501	93.02363	0.1467533
ILMN_1668446	82.9054	0.3805195
ILMN_1812070	99.57977	0.0948052
ILMN_2094875	117.7317	0.04935065
ILMN_1665730	175.5616	0.009090909
ILMN_2232066	83.30918	0.361039
ILMN_1767349	84.11843	0.3285714
ILMN_1658257	83.92583	0.3337662
ILMN_2193980	124.7273	0.03766234
ILMN_1687840	155.5493	0.01428571
ILMN_2102422	88.06324	0.2233766
ILMN_1788928	85.74551	0.274026
ILMN_2343047	97.58105	0.1038961
ILMN_2343048	89.27795	0.2012987
ILMN_2335302	78.05911	0.7012987
ILMN_1802404	102.5363	0.08051948
