PROBE_ID	7677153062_A.VALUE	7677153062_A.Detection Pval
ILMN_1762337	94.60923	0.387013
ILMN_2055271	129.3989	0.04025974
ILMN_1736007	95.5556	0.3363636
ILMN_2383229	94.45803	0.3961039
ILMN_1806310	95.50993	0.3402597
ILMN_1779670	88.49414	0.8
ILMN_1653355	94.42987	0.3974026
ILMN_1717783	84.47894	0.9649351
ILMN_1705025	99.57665	0.1987013
ILMN_1814316	100.4213	0.174026
ILMN_2359168	96.23185	0.312987
ILMN_1731507	87.04057	0.8675325
ILMN_1787689	92.56075	0.5233766
ILMN_3241953	101.6889	0.1571429
ILMN_1745607	81.60709	0.9961039
ILMN_2136495	89.2251	0.7597402
ILMN_1668111	90.63255	0.6727273
ILMN_2295559	88.2467	0.8090909
ILMN_1735045	97.69451	0.2597403
ILMN_1680754	99.89947	0.1792208
ILMN_2375184	95.77879	0.3311688
ILMN_1659452	93.2345	0.4714286
ILMN_1767388	158.1304	0.01558442
ILMN_1675204	97.41067	0.274026
ILMN_1673870	98.57119	0.2311688
ILMN_1755321	142.022	0.02467532
ILMN_1698554	98.07858	0.2441558
ILMN_1814092	94.49594	0.3935065
ILMN_1760414	92.19169	0.5506493
ILMN_2061446	143.3587	0.02207792
ILMN_1676336	125.6073	0.04675325
ILMN_1752884	90.20971	0.7038961
ILMN_1660703	99.13596	0.212987
ILMN_1668851	82.24966	0.9961039
ILMN_2270015	92.03095	0.5584416
ILMN_1809959	89.46941	0.7428572
ILMN_2357031	92.60771	0.5155844
ILMN_1726986	115.9144	0.06103896
ILMN_3237396	161.5736	0.01298701
ILMN_1688755	331.2524	0
ILMN_1880387	98.00108	0.2467532
ILMN_1689211	91.1258	0.6337662
ILMN_1653165	154.0523	0.01688312
ILMN_1729835	83.58607	0.9779221
ILMN_1662364	310.1518	0
ILMN_1674698	119.6956	0.05454545
ILMN_1700461	138.4622	0.02857143
ILMN_1784269	125.8635	0.04545455
ILMN_1698189	110.5143	0.07532468
ILMN_2096191	152.8352	0.01688312
ILMN_1678323	89.11647	0.7623377
ILMN_2157219	95.76952	0.3311688
ILMN_1703743	258.5458	0.001298701
ILMN_1687609	111.6737	0.06753246
ILMN_2068874	91.67725	0.5935065
ILMN_1699334	112.7785	0.06623377
ILMN_1670117	85.57698	0.9272727
ILMN_1805104	109.1173	0.08701298
ILMN_2404407	97.36579	0.274026
ILMN_1766054	330.1077	0
ILMN_1753388	93.73404	0.448052
ILMN_2070570	121.4076	0.05324675
ILMN_2232084	96.46278	0.2974026
ILMN_1750250	88.51689	0.7974026
ILMN_2361400	95.46943	0.3454545
ILMN_1704579	87.76858	0.8272727
ILMN_1687636	99.3491	0.2051948
ILMN_1747627	156.3074	0.01688312
ILMN_1758523	104.0038	0.1233766
ILMN_1794965	102.756	0.1415584
ILMN_1722286	93.23035	0.4727273
ILMN_1784176	92.74685	0.4987013
ILMN_1749001	91.65614	0.5961039
ILMN_1701551	110.587	0.07532468
ILMN_1795507	108.4763	0.09220779
ILMN_1729894	90.66258	0.6714286
ILMN_1743205	398.984	0
ILMN_2259319	92.80183	0.4974026
ILMN_2129886	91.85246	0.574026
ILMN_1796801	163.5571	0.01298701
ILMN_1720501	123.0381	0.04935065
ILMN_1668446	96.822	0.2857143
ILMN_1812070	113.7618	0.06623377
ILMN_2094875	110.7122	0.07402597
ILMN_1665730	179.5401	0.005194805
ILMN_2232066	95.17675	0.361039
ILMN_1767349	101.5379	0.1597403
ILMN_1658257	92.25632	0.5454546
ILMN_2193980	141.2123	0.02467532
ILMN_1687840	172.2977	0.005194805
ILMN_2102422	99.37173	0.2038961
ILMN_1788928	95.35546	0.3480519
ILMN_2343047	126.1586	0.04545455
ILMN_2343048	131.5195	0.03636364
ILMN_2335302	96.34634	0.3064935
ILMN_1802404	116.4818	0.05714286
ILMN_1776119	128.8869	0.04155844
ILMN_2358714	83.36748	0.9818182
ILMN_1732140	123.1969	0.04935065
ILMN_1713008	86.7317	0.8766234
ILMN_1762093	93.62377	0.451948
ILMN_1709092	112.6096	0.06623377
ILMN_1678409	91.21815	0.625974
ILMN_1774344	90.32792	0.6935065
ILMN_1676278	110.4882	0.07532468
ILMN_1717466	96.11142	0.3207792
ILMN_1677814	198.3071	0.003896104
ILMN_1788457	136.251	0.02857143
ILMN_2194009	108.3082	0.09220779
ILMN_2302358	85.10806	0.9467533
ILMN_1706531	159.7566	0.01428571
ILMN_1651964	159.5446	0.01428571
ILMN_1725675	89.71596	0.7311688
ILMN_1778352	84.51939	0.9649351
ILMN_1725414	89.37011	0.7506493
ILMN_2293902	92.03946	0.5584416
ILMN_1801521	91.1982	0.6272727
ILMN_2406654	103.3354	0.1324675
ILMN_3246902	95.66809	0.3337662
ILMN_3244070	112.1126	0.06753246
ILMN_1767129	100.2823	0.1766234
ILMN_1746196	91.0548	0.6376624
ILMN_2366473	93.96922	0.4311688
ILMN_1751453	90.47498	0.687013
ILMN_1772189	116.021	0.06103896
ILMN_1652959	90.99668	0.6402597
ILMN_2198897	88.75593	0.7805195
ILMN_1674032	104.8023	0.1155844
ILMN_1737656	104.1532	0.1233766
ILMN_2343917	95.20674	0.3545454
ILMN_1746032	93.63959	0.4493507
ILMN_1651501	239.1594	0.002597403
ILMN_2330267	198.6969	0.003896104
ILMN_1676846	195.4711	0.003896104
ILMN_2392635	196.0605	0.003896104
ILMN_1763875	351.3976	0
ILMN_2284941	102.6661	0.1415584
ILMN_1781999	121.9066	0.05194805
ILMN_1669201	109.0811	0.08701298
ILMN_1810085	102.0652	0.1480519
ILMN_2262362	95.51331	0.3402597
