PROBE_ID	7677153059_E.VALUE	7677153059_E.Detection Pval
ILMN_2367487	91.60667	0.3688312
ILMN_1785285	90.52808	0.4025974
ILMN_2073969	98.95639	0.1974026
ILMN_1794213	201.8836	0.006493506
ILMN_2227533	102.5317	0.1545455
ILMN_1769390	105.0122	0.1233766
ILMN_2403446	114.6496	0.08441558
ILMN_1787618	87.71879	0.5298702
ILMN_1723662	127.0805	0.05064935
ILMN_1801767	383.1936	0
ILMN_1700633	192.1399	0.009090909
ILMN_1655702	456.386	0
ILMN_1706344	109.5943	0.1038961
ILMN_1719498	89.2795	0.4571429
ILMN_1712707	145.3028	0.03376623
ILMN_1699750	200.3816	0.006493506
ILMN_1739081	195.3069	0.007792208
ILMN_2329958	341.1555	0
ILMN_1775944	88.96907	0.4701299
ILMN_1724497	118.7299	0.06493507
ILMN_1720988	97.70198	0.2142857
ILMN_1707274	77.16372	0.9961039
ILMN_1755658	147.4025	0.03116883
ILMN_1673639	89.18449	0.4597403
ILMN_1713732	178.1259	0.009090909
ILMN_1708922	139.1241	0.03896104
ILMN_2268241	91.13135	0.3766234
ILMN_1741628	108.2635	0.1090909
ILMN_1657870	115.4519	0.08051948
ILMN_2240003	91.98624	0.3532467
ILMN_1785424	285.4984	0
ILMN_1731610	100.1226	0.1818182
ILMN_1696682	84.05671	0.7792208
ILMN_2396672	153.6849	0.02077922
ILMN_1758825	123.9598	0.05584415
ILMN_1656940	110.6243	0.1025974
ILMN_1656979	114.7649	0.08311688
ILMN_1731433	246.1099	0.003896104
ILMN_1672878	641.2723	0
ILMN_1655114	127.5861	0.05064935
ILMN_1657045	84.85815	0.7220779
ILMN_1766991	87.21765	0.5675325
ILMN_1658083	99.81106	0.1844156
ILMN_1802096	1566.022	0
ILMN_2367165	1140.99	0
ILMN_1753370	118.7617	0.06493507
ILMN_1738921	460.483	0
ILMN_1660199	128.8307	0.04805195
ILMN_2331636	109.2412	0.1051948
ILMN_1772123	110.7873	0.1025974
ILMN_1667641	81.45018	0.912987
ILMN_1763852	94.40315	0.2831169
ILMN_1687303	106.555	0.112987
ILMN_1761058	152.614	0.02207792
ILMN_2225595	217.3036	0.003896104
ILMN_1724699	89.18108	0.4597403
ILMN_1775579	120.1612	0.05844156
ILMN_1660890	90.67603	0.3883117
ILMN_1778104	138.7962	0.03896104
ILMN_2053679	178.9884	0.009090909
ILMN_1795104	214.725	0.005194805
ILMN_1740920	96.13794	0.2376623
ILMN_2263466	132.0971	0.04285714
ILMN_1806408	1116.375	0
ILMN_2352009	265.9391	0.001298701
ILMN_1693148	83.90173	0.7974026
ILMN_1808395	488.5186	0
ILMN_3236270	407.6778	0
ILMN_1743847	93.53592	0.3064935
ILMN_1800008	157.2303	0.01948052
ILMN_2133799	98.09467	0.2103896
ILMN_1708672	139.2449	0.03896104
ILMN_1665945	189.1434	0.009090909
ILMN_1676288	103.0444	0.1493506
ILMN_1693250	102.2883	0.1597403
ILMN_2295980	102.4712	0.1558442
ILMN_2410362	103.1812	0.1467533
ILMN_1684271	111.0026	0.1025974
ILMN_1726388	85.3229	0.6909091
ILMN_2106002	102.7752	0.151948
ILMN_1779685	102.0437	0.1636364
ILMN_1665932	95.95477	0.2415584
ILMN_1769694	89.6665	0.4324675
ILMN_1727251	106.8621	0.112987
ILMN_1734479	101.3623	0.1727273
ILMN_2368728	137.9206	0.04025974
ILMN_2394897	85.411	0.6883117
ILMN_2394902	94.18109	0.2883117
ILMN_2287535	101.3726	0.1727273
ILMN_1750295	108.4587	0.1077922
ILMN_3187680	132.5789	0.04285714
ILMN_3242266	100.4598	0.1818182
ILMN_1780630	140.757	0.03636364
ILMN_1716480	135.3858	0.04155844
ILMN_1715192	94.6701	0.2753247
ILMN_2339410	86.36938	0.6194805
ILMN_1779984	100.7134	0.1805195
ILMN_1667018	105.5276	0.1194805
ILMN_1773243	86.31194	0.6207792
ILMN_3241214	114.3856	0.08701298
ILMN_3235340	101.8462	0.1675325
ILMN_1761000	94.14371	0.2883117
ILMN_3237774	163.0387	0.01688312
ILMN_2333219	82.87026	0.8545455
ILMN_1780485	111.957	0.09740259
ILMN_1735471	156.8487	0.02077922
ILMN_1699636	348.0631	0
ILMN_2371379	325.9871	0
ILMN_1749014	230.9337	0.003896104
ILMN_1727091	90.17418	0.4181818
ILMN_1771348	142.2538	0.03506494
ILMN_2134039	4363.751	0
ILMN_1750800	160.4677	0.01818182
ILMN_1654861	137.11	0.04025974
ILMN_2121389	85.72388	0.6610389
ILMN_1715543	80.61816	0.9415584
ILMN_1739594	95.93736	0.2415584
ILMN_2353978	83.96947	0.787013
ILMN_1785474	146.8324	0.03376623
ILMN_2188959	105.9339	0.1168831
ILMN_1716237	130.04	0.04545455
ILMN_1764321	91.33056	0.3727273
ILMN_2156699	87.20251	0.5688311
ILMN_1784756	98.12147	0.2090909
ILMN_1728883	87.01174	0.5831169
ILMN_1740265	122.1333	0.05714286
ILMN_1788078	85.63876	0.6688312
ILMN_2252621	90.26984	0.4142857
ILMN_2332250	97.31443	0.2220779
ILMN_1719178	91.63496	0.3662338
ILMN_1679600	109.8596	0.1038961
ILMN_2367070	163.8612	0.01688312
ILMN_1658995	207.018	0.006493506
ILMN_1750158	317.6993	0
ILMN_1668839	120.2065	0.05844156
ILMN_1765767	127.2595	0.05064935
ILMN_1685703	89.39326	0.4454545
ILMN_1743396	102.6112	0.1532468
ILMN_1743680	82.26262	0.8831169
ILMN_1669633	201.8575	0.006493506
ILMN_2344956	474.0185	0
ILMN_2104830	119.2482	0.06493507
ILMN_2078599	114.9373	0.08311688
ILMN_2234343	99.61944	0.1896104
ILMN_1706598	128.6153	0.04935065
ILMN_2306955	131.1356	0.04415584
ILMN_1758323	157.7326	0.01948052
ILMN_1728331	283.9986	0
ILMN_2351906	87.49403	0.548052
ILMN_1705637	178.5308	0.009090909
ILMN_1784203	175.727	0.01168831
ILMN_1666690	110.0527	0.1038961
