PROBE_ID	7677153059_D.VALUE	7677153059_D.Detection Pval
ILMN_1698311	104.9327	0.374026
ILMN_2367487	105.151	0.3688312
ILMN_1785285	100.6675	0.5233766
ILMN_2073969	99.8428	0.5636364
ILMN_1794213	234.5632	0.005194805
ILMN_2227533	102.808	0.4415585
ILMN_1769390	115.0645	0.1818182
ILMN_2403446	126.0831	0.1012987
ILMN_1787618	91.71445	0.9623377
ILMN_1723662	138.2761	0.05974026
ILMN_1801767	340.4778	0
ILMN_1700633	186.7982	0.01558442
ILMN_1655702	344.8815	0
ILMN_1706344	116.3988	0.1662338
ILMN_1719498	95.01228	0.8441558
ILMN_1712707	139.9129	0.05714286
ILMN_1699750	218.8751	0.006493506
ILMN_1739081	257.2961	0.003896104
ILMN_2329958	317.5668	0
ILMN_1775944	99.71568	0.5714286
ILMN_1724497	112.1346	0.2194805
ILMN_1720988	108.04	0.2909091
ILMN_1707274	93.94057	0.8961039
ILMN_1755658	154.2182	0.04155844
ILMN_1673639	100.2549	0.5441558
ILMN_1713732	201.8774	0.01038961
ILMN_1708922	141.4948	0.05584415
ILMN_2268241	106.6699	0.3220779
ILMN_1741628	113.9771	0.2038961
ILMN_1657870	123.381	0.1142857
ILMN_2240003	100.3918	0.5376623
ILMN_1785424	222.5774	0.006493506
ILMN_1731610	113.7251	0.2064935
ILMN_1696682	101.3468	0.5025974
ILMN_2396672	146.3696	0.04935065
ILMN_1758825	140.6132	0.05714286
ILMN_1656940	103.5672	0.4168831
ILMN_1656979	135.723	0.06493507
ILMN_1731433	247.9359	0.003896104
ILMN_1672878	522.2594	0
ILMN_1655114	126.958	0.0961039
ILMN_1657045	96.22203	0.7831169
ILMN_1766991	99.32037	0.5948052
ILMN_1658083	114.9659	0.1831169
ILMN_1802096	1425.806	0
ILMN_2367165	757.621	0
ILMN_1753370	141.5983	0.05584415
ILMN_1738921	431.367	0
ILMN_1660199	137.214	0.06233766
ILMN_2331636	120.0399	0.1324675
ILMN_1772123	136.9565	0.06233766
ILMN_1667641	93.59348	0.9142857
ILMN_1763852	101.2486	0.5051948
ILMN_1687303	119.8738	0.1337662
ILMN_1761058	142.1153	0.05324675
ILMN_2225595	163.2292	0.03376623
ILMN_1724699	102.8062	0.4415585
ILMN_1775579	141.1724	0.05714286
ILMN_1660890	101.3152	0.5025974
ILMN_1778104	154.2719	0.04155844
ILMN_2053679	179.5097	0.01948052
ILMN_1795104	243.4678	0.005194805
ILMN_1740920	107.2629	0.3090909
ILMN_2263466	124.4823	0.1077922
ILMN_1806408	724.3605	0
ILMN_2352009	186.6853	0.01558442
ILMN_1693148	94.38476	0.8792208
ILMN_1808395	402.2362	0
ILMN_3236270	310.6757	0
ILMN_1743847	93.4932	0.9220779
ILMN_1800008	151.1978	0.04285714
ILMN_2133799	103.1948	0.4337662
ILMN_1708672	139.7494	0.05844156
ILMN_1665945	197.3718	0.01168831
ILMN_1676288	109.1646	0.2688312
ILMN_1693250	102.7272	0.4441558
ILMN_2295980	115.1859	0.1792208
ILMN_2410362	121.0078	0.1285714
ILMN_1684271	104.1952	0.3974026
ILMN_1726388	97.73438	0.6805195
ILMN_2106002	126.0672	0.1012987
ILMN_1779685	137.9547	0.06103896
ILMN_1665932	111.3056	0.2337662
ILMN_1769694	102.5558	0.448052
ILMN_1727251	119.4985	0.1363636
ILMN_1734479	111.9152	0.2220779
ILMN_2368728	146.3612	0.04935065
ILMN_2394897	97.9081	0.6714286
ILMN_2394902	108.4073	0.2844156
ILMN_2287535	111.9055	0.2233766
ILMN_1750295	127.5086	0.09220779
ILMN_3187680	121.3043	0.125974
ILMN_3242266	114.0789	0.1987013
ILMN_1780630	157.425	0.03896104
ILMN_1716480	160.2141	0.03766234
ILMN_1715192	110.5712	0.2441558
ILMN_2339410	96.19199	0.7883117
ILMN_1779984	98.23449	0.651948
ILMN_1667018	119.5696	0.1363636
ILMN_1773243	92.2208	0.9493507
ILMN_3241214	127.9116	0.08831169
ILMN_3235340	107.4271	0.3064935
ILMN_1761000	101.898	0.4792208
ILMN_3237774	158.3597	0.03896104
ILMN_2333219	96.01918	0.8
ILMN_1780485	134.991	0.06623377
ILMN_1735471	190.9173	0.01298701
ILMN_1699636	323.415	0
ILMN_2371379	297.6578	0
ILMN_1749014	208.4799	0.009090909
ILMN_1727091	100.5347	0.5272727
ILMN_1771348	159.803	0.03766234
ILMN_2134039	4996.6	0
ILMN_1750800	177.4464	0.02207792
ILMN_1654861	146.1641	0.04935065
ILMN_2121389	102.2943	0.4597403
ILMN_1715543	92.22649	0.9493507
ILMN_1739594	105.2128	0.3662338
ILMN_2353978	97.93106	0.6714286
ILMN_1785474	168.5701	0.03116883
ILMN_2188959	108.9684	0.2727273
ILMN_1716237	152.0303	0.04155844
ILMN_1764321	99.16709	0.6012987
ILMN_2156699	103.5088	0.4194805
ILMN_1784756	112.222	0.2194805
ILMN_1728883	95.49273	0.8207792
ILMN_1740265	114.1175	0.1987013
ILMN_1788078	99.34472	0.5948052
ILMN_2252621	97.96558	0.6701299
ILMN_2332250	101.3772	0.5025974
ILMN_1719178	103.971	0.4025974
ILMN_1679600	107.684	0.2974026
ILMN_2367070	159.3277	0.03766234
ILMN_1658995	218.9726	0.006493506
ILMN_1750158	371.6868	0
ILMN_1668839	121.3532	0.125974
ILMN_1765767	153.8616	0.04155844
ILMN_1685703	108.579	0.2844156
ILMN_1743396	122.3114	0.1207792
ILMN_1743680	93.06358	0.9350649
ILMN_1669633	175.2832	0.02337662
ILMN_2344956	341.4043	0
ILMN_2104830	141.41	0.05584415
ILMN_2078599	120.711	0.1298701
ILMN_2234343	104.4798	0.3909091
ILMN_1706598	148.9429	0.04675325
ILMN_2306955	160.8664	0.03636364
ILMN_1758323	186.3607	0.01558442
ILMN_1728331	333.7385	0
ILMN_2351906	101.5184	0.4961039
ILMN_1705637	193.9025	0.01298701
ILMN_1784203	135.4536	0.06493507
ILMN_1666690	125.7359	0.1012987
ILMN_1654468	221.7534	0.006493506
ILMN_2320277	128.0185	0.08831169
ILMN_2227011	96.17073	0.7896104
ILMN_1730002	119.9668	0.1324675
ILMN_3236756	102.1335	0.4701299
ILMN_1716832	101.0268	0.5142857
ILMN_1684585	2874.852	0
ILMN_2360705	266.3635	0.003896104
ILMN_1654414	143.1484	0.05064935
ILMN_1666096	136.1229	0.06493507
ILMN_2391458	187.7521	0.01558442
ILMN_2285506	116.5592	0.1649351
ILMN_1691714	114.5905	0.1857143
ILMN_1683598	556.1088	0
ILMN_2370882	142.7438	0.05194805
ILMN_2273911	96.30354	0.7818182
ILMN_1807914	99.52027	0.5844156
ILMN_1678517	100.8055	0.5220779
ILMN_1705247	288.267	0.001298701
ILMN_1737418	105.6088	0.3571429
ILMN_2278242	98.42068	0.6428571
ILMN_1730025	107.0858	0.3103896
ILMN_2378555	157.4899	0.03896104
ILMN_1661434	98.19588	0.6545454
ILMN_1809623	98.02812	0.6623377
ILMN_1657592	99.95782	0.5597402
ILMN_1765912	105.7095	0.3558442
ILMN_1746128	95.72449	0.8077922
ILMN_1685952	96.65535	0.7532467
ILMN_1662738	100.1188	0.5467532
ILMN_1771084	105.3244	0.3623376
ILMN_1791923	103.1288	0.4363636
ILMN_1801698	98.45939	0.6415585
ILMN_1766966	103.5077	0.4194805
ILMN_2070792	121.1351	0.1285714
ILMN_1752269	133.6837	0.07012987
ILMN_1697510	104.9225	0.3753247
ILMN_2254962	112.8039	0.2142857
ILMN_2336595	347.586	0
ILMN_1714197	389.3022	0
ILMN_1742859	95.88667	0.8051948
ILMN_1659885	104.6867	0.3831169
ILMN_2125869	125.8646	0.1012987
ILMN_1671703	321.2804	0
ILMN_2152131	11384.12	0
ILMN_1777296	8247.1	0
ILMN_2038777	11478.32	0
ILMN_3246895	96.37199	0.7766234
ILMN_1658660	105.9342	0.3467532
ILMN_1829919	102.023	0.4766234
ILMN_2053178	7011.086	0
ILMN_1704961	2615.081	0
ILMN_1795325	89.70179	0.9818182
ILMN_1749297	164.0824	0.03376623
